id,page_index,text_id,status,error
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-12-1,12,text-12-1,enqueued,
easyread-text-12-1,12,text-12-1,enqueued,
easyread-text-12-2,12,text-12-2,enqueued,
easyread-text-12-2,12,text-12-2,enqueued,
easyread-text-12-3,12,text-12-3,enqueued,
easyread-text-23-0,23,text-23-0,enqueued,
easyread-text-12-3,12,text-12-3,enqueued,
easyread-text-23-0,23,text-23-0,enqueued,
easyread-text-12-4,12,text-12-4,enqueued,
easyread-text-23-1,23,text-23-1,enqueued,
easyread-text-12-4,12,text-12-4,enqueued,
easyread-text-23-1,23,text-23-1,enqueued,
easyread-text-12-5,12,text-12-5,enqueued,
easyread-text-12-5,12,text-12-5,enqueued,
easyread-text-23-2,23,text-23-2,enqueued,
easyread-text-12-6,12,text-12-6,enqueued,
easyread-text-23-2,23,text-23-2,enqueued,
easyread-text-12-6,12,text-12-6,enqueued,
easyread-text-23-3,23,text-23-3,enqueued,
easyread-text-23-3,23,text-23-3,enqueued,
easyread-text-25-0,25,text-25-0,enqueued,
easyread-text-25-0,25,text-25-0,enqueued,
easyread-text-23-4,23,text-23-4,enqueued,
easyread-text-25-1,25,text-25-1,enqueued,
easyread-text-23-4,23,text-23-4,enqueued,
easyread-text-25-1,25,text-25-1,enqueued,
easyread-text-23-5,23,text-23-5,enqueued,
easyread-text-25-2,25,text-25-2,enqueued,
easyread-text-23-5,23,text-23-5,enqueued,
easyread-text-25-2,25,text-25-2,enqueued,
easyread-text-23-6,23,text-23-6,enqueued,
easyread-text-23-6,23,text-23-6,enqueued,
easyread-text-25-3,25,text-25-3,enqueued,
easyread-text-25-3,25,text-25-3,enqueued,
easyread-text-23-7,23,text-23-7,enqueued,
easyread-text-25-4,25,text-25-4,enqueued,
easyread-text-23-7,23,text-23-7,enqueued,
easyread-text-25-4,25,text-25-4,enqueued,
easyread-text-23-8,23,text-23-8,enqueued,
easyread-text-25-5,25,text-25-5,enqueued,
easyread-text-23-8,23,text-23-8,enqueued,
easyread-text-25-5,25,text-25-5,enqueued,
easyread-text-23-9,23,text-23-9,enqueued,
easyread-text-16-0,16,text-16-0,enqueued,
easyread-text-25-6,25,text-25-6,enqueued,
easyread-text-23-9,23,text-23-9,enqueued,
easyread-text-16-0,16,text-16-0,enqueued,
easyread-text-25-6,25,text-25-6,enqueued,
easyread-text-23-10,23,text-23-10,enqueued,
easyread-text-23-10,23,text-23-10,enqueued,
easyread-text-16-1,16,text-16-1,enqueued,
easyread-text-25-7,25,text-25-7,enqueued,
easyread-text-19-0,19,text-19-0,enqueued,
easyread-text-16-1,16,text-16-1,enqueued,
easyread-text-25-7,25,text-25-7,enqueued,
easyread-text-19-0,19,text-19-0,enqueued,
easyread-text-18-0,18,text-18-0,enqueued,
easyread-text-16-2,16,text-16-2,enqueued,
easyread-text-25-8,25,text-25-8,enqueued,
easyread-text-18-0,18,text-18-0,enqueued,
easyread-text-19-1,19,text-19-1,enqueued,
easyread-text-16-2,16,text-16-2,enqueued,
easyread-text-15-0,15,text-15-0,enqueued,
easyread-text-25-8,25,text-25-8,enqueued,
easyread-text-19-1,19,text-19-1,enqueued,
easyread-text-18-1,18,text-18-1,enqueued,
easyread-text-15-0,15,text-15-0,enqueued,
easyread-text-16-3,16,text-16-3,enqueued,
easyread-text-25-9,25,text-25-9,enqueued,
easyread-text-18-1,18,text-18-1,enqueued,
easyread-text-19-2,19,text-19-2,enqueued,
easyread-text-16-3,16,text-16-3,enqueued,
easyread-text-25-9,25,text-25-9,enqueued,
easyread-text-15-1,15,text-15-1,enqueued,
easyread-text-18-2,18,text-18-2,enqueued,
easyread-text-19-2,19,text-19-2,enqueued,
easyread-text-16-4,16,text-16-4,enqueued,
easyread-text-15-1,15,text-15-1,enqueued,
easyread-text-25-10,25,text-25-10,enqueued,
easyread-text-18-2,18,text-18-2,enqueued,
easyread-text-19-3,19,text-19-3,enqueued,
easyread-text-16-4,16,text-16-4,enqueued,
easyread-text-25-10,25,text-25-10,enqueued,
easyread-text-15-2,15,text-15-2,enqueued,
easyread-text-19-3,19,text-19-3,enqueued,
easyread-text-18-3,18,text-18-3,enqueued,
easyread-text-16-5,16,text-16-5,enqueued,
easyread-text-25-11,25,text-25-11,enqueued,
easyread-text-15-2,15,text-15-2,enqueued,
easyread-text-19-4,19,text-19-4,enqueued,
easyread-text-18-3,18,text-18-3,enqueued,
easyread-text-16-5,16,text-16-5,enqueued,
easyread-text-25-11,25,text-25-11,enqueued,
easyread-text-19-4,19,text-19-4,enqueued,
easyread-text-15-3,15,text-15-3,enqueued,
easyread-text-18-4,18,text-18-4,enqueued,
easyread-text-16-6,16,text-16-6,enqueued,
easyread-text-25-12,25,text-25-12,enqueued,
easyread-text-19-5,19,text-19-5,enqueued,
easyread-text-15-3,15,text-15-3,enqueued,
easyread-text-18-4,18,text-18-4,enqueued,
easyread-text-16-6,16,text-16-6,enqueued,
easyread-text-25-12,25,text-25-12,enqueued,
easyread-text-19-5,19,text-19-5,enqueued,
easyread-text-15-4,15,text-15-4,enqueued,
easyread-text-18-5,18,text-18-5,enqueued,
easyread-text-16-7,16,text-16-7,enqueued,
easyread-text-15-4,15,text-15-4,enqueued,
easyread-text-19-6,19,text-19-6,enqueued,
easyread-text-18-5,18,text-18-5,enqueued,
easyread-text-16-7,16,text-16-7,enqueued,
easyread-text-19-6,19,text-19-6,enqueued,
easyread-text-15-5,15,text-15-5,enqueued,
easyread-text-18-6,18,text-18-6,enqueued,
easyread-text-16-8,16,text-16-8,enqueued,
easyread-text-19-7,19,text-19-7,enqueued,
easyread-text-15-5,15,text-15-5,enqueued,
easyread-text-18-6,18,text-18-6,enqueued,
easyread-text-16-8,16,text-16-8,enqueued,
easyread-text-19-7,19,text-19-7,enqueued,
easyread-text-15-6,15,text-15-6,enqueued,
easyread-text-18-7,18,text-18-7,enqueued,
easyread-text-16-9,16,text-16-9,enqueued,
easyread-text-15-6,15,text-15-6,enqueued,
easyread-text-19-8,19,text-19-8,enqueued,
easyread-text-18-7,18,text-18-7,enqueued,
easyread-text-16-9,16,text-16-9,enqueued,
easyread-text-15-7,15,text-15-7,enqueued,
easyread-text-19-8,19,text-19-8,enqueued,
easyread-text-16-10,16,text-16-10,enqueued,
easyread-text-15-7,15,text-15-7,enqueued,
easyread-text-19-9,19,text-19-9,enqueued,
easyread-text-16-10,16,text-16-10,enqueued,
easyread-text-19-9,19,text-19-9,enqueued,
easyread-text-15-8,15,text-15-8,enqueued,
easyread-text-15-8,15,text-15-8,enqueued,
easyread-text-15-9,15,text-15-9,enqueued,
easyread-text-15-9,15,text-15-9,enqueued,
easyread-text-15-10,15,text-15-10,enqueued,
easyread-text-15-10,15,text-15-10,enqueued,
easyread-text-11-0,11,text-11-0,enqueued,
easyread-text-11-0,11,text-11-0,enqueued,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-11-1,11,text-11-1,enqueued,
easyread-text-10-1,10,text-10-1,enqueued,
