page_index,section_id,html_path,reasoning
11,1,math2ndgrade_web_assets_result/intermediate_outputs/11_1_adt.html,"T,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,e,l,e,m,e,n,t,s, ,w,i,l,l, ,b,e, ,u,s,e,d, ,t,o, ,c,r,e,a,t,e, ,a,n, ,a,c,t,i,v,i,t,y, ,t,h,a,t, ,h,e,l,p,s, ,s,t,u,d,e,n,t,s, ,f,i,l,l, ,i,n, ,t,h,e, ,b,l,a,n,k,s, ,f,o,r, ,m,a,t,h, ,p,r,o,b,l,e,m,s,., ,T,h,e, ,H,T,M,L, ,w,i,l,l, ,n,e,e,d, ,t,o, ,a,l,l,o,w, ,i,n,t,e,r,a,c,t,i,v,i,t,y, ,w,h,e,r,e, ,s,t,u,d,e,n,t,s, ,c,a,n, ,i,n,p,u,t, ,t,h,e,i,r, ,g,u,e,s,s,e,s, ,f,o,r, ,w,h,a,t, ,n,u,m,b,e,r, ,c,o,m,p,l,e,t,e,s, ,t,h,e, ,e,q,u,a,t,i,o,n,."
12,0,math2ndgrade_web_assets_result/intermediate_outputs/12_0_adt.html,"T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,i,s, ,d,e,s,i,g,n,e,d, ,t,o, ,m,a,t,c,h, ,t,h,e, ,g,i,v,e,n, ,s,e,c,t,i,o,n, ,t,y,p,e,,, ,w,h,i,c,h, ,i,s, ,t,e,x,t,-,o,n,l,y,., ,I,t, ,i,n,c,l,u,d,e,s, ,t,h,e, ,m,a,i,n, ,h,e,a,d,i,n,g, ,a,n,d, ,a, ,b,r,i,e,f, ,i,n,s,t,r,u,c,t,i,o,n,,, ,w,i,t,h, ,a,p,p,r,o,p,r,i,a,t,e, ,s,t,y,l,i,n,g, ,u,s,i,n,g, ,T,a,i,l,w,i,n,d, ,C,S,S,."
13,0,math2ndgrade_web_assets_result/intermediate_outputs/13_0_adt.html,"T,h,e, ,s,e,c,t,i,o,n, ,c,o,n,t,a,i,n,s, ,a, ,n,a,r,r,a,t,i,v,e, ,o,f, ,a, ,b,u,s, ,t,r,i,p, ,t,o, ,t,h,e, ,z,o,o,,, ,w,i,t,h, ,a,n, ,e,m,b,e,d,d,e,d, ,q,u,e,s,t,i,o,n, ,e,n,c,o,u,r,a,g,i,n,g, ,s,t,u,d,e,n,t,s, ,t,o, ,d,e,t,e,r,m,i,n,e, ,h,o,w, ,m,a,n,y, ,s,t,u,d,e,n,t,s, ,w,e,r,e, ,i,n,i,t,i,a,l,l,y, ,o,n, ,t,h,e, ,b,u,s,., ,T,h,i,s, ,i,n,f,o,r,m,a,t,i,o,n, ,i,s, ,p,r,e,s,e,n,t,e,d, ,a,l,o,n,g,s,i,d,e, ,a,n, ,i,m,a,g,e, ,o,f, ,c,h,i,l,d,r,e,n, ,a,t, ,t,h,e, ,z,o,o,,, ,o,f,f,e,r,i,n,g, ,c,o,n,t,e,x,t, ,a,n,d, ,v,i,s,u,a,l, ,a,p,p,e,a,l,."
16,0,math2ndgrade_web_assets_result/intermediate_outputs/16_0_adt.html,"T,h,e, ,H,T,M,L, ,l,a,y,o,u,t, ,m,i,r,r,o,r,s, ,t,h,e, ,s,t,r,u,c,t,u,r,e, ,f,o,u,n,d, ,i,n, ,t,h,e, ,i,m,a,g,e,,, ,e,n,s,u,r,i,n,g, ,a, ,c,l,e,a,r, ,a,n,d, ,o,r,g,a,n,i,z,e,d, ,p,r,e,s,e,n,t,a,t,i,o,n,., ,T,a,i,l,w,i,n,d, ,C,S,S, ,c,l,a,s,s,e,s, ,h,a,v,e, ,b,e,e,n, ,u,t,i,l,i,z,e,d, ,f,o,r, ,c,o,n,s,i,s,t,e,n,t, ,s,t,y,l,i,n,g,,, ,r,e,a,d,a,b,i,l,i,t,y,,, ,a,n,d, ,a,c,c,e,s,s,i,b,i,l,i,t,y,., ,T,h,i,s, ,l,a,y,o,u,t, ,f,a,c,i,l,i,t,a,t,e,s, ,e,n,g,a,g,i,n,g, ,w,i,t,h, ,t,h,e, ,c,o,n,t,e,n,t, ,i,n,t,e,r,a,c,t,i,v,e,l,y,."
14,1,math2ndgrade_web_assets_result/intermediate_outputs/14_1_adt.html,"T,h,e, ,i,n,s,t,r,u,c,t,i,o,n, ,m,e,n,t,i,o,n,s, ,t,h,a,t, ,t,h,e, ,s,e,c,t,i,o,n, ,t,y,p,e, ,i,s, ,o,p,e,n,-,e,n,d,e,d,,, ,s,o, ,s,t,u,d,e,n,t,s, ,a,r,e, ,l,i,k,e,l,y, ,i,n,t,e,n,d,e,d, ,t,o, ,f,i,l,l, ,i,n, ,t,h,e,i,r, ,a,n,s,w,e,r,s, ,d,i,r,e,c,t,l,y, ,b,a,s,e,d, ,o,n, ,t,h,e, ,g,i,v,e,n, ,i,n,f,o,r,m,a,t,i,o,n,., ,T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,w,i,l,l, ,p,r,o,v,i,d,e, ,a, ,w,a,y, ,f,o,r, ,s,t,u,d,e,n,t,s, ,t,o, ,e,n,t,e,r, ,t,h,e,i,r, ,a,n,s,w,e,r,s,., ,A, ,p,l,a,c,e,h,o,l,d,e,r, ,f,o,r, ,t,h,e, ,i,m,a,g,e, ,I,D, ,i,s,n,',t, ,n,e,c,e,s,s,a,r,y, ,h,e,r,e, ,a,s, ,i,t,',s, ,n,o,t, ,p,r,o,v,i,d,e,d, ,i,n, ,t,h,e, ,i,n,p,u,t,."
24,1,math2ndgrade_web_assets_result/intermediate_outputs/24_1_adt.html,"T,h,e, ,g,i,v,e,n, ,i,n,s,t,r,u,c,t,i,o,n,s, ,a,n,d, ,c,o,n,t,e,x,t, ,r,e,l,a,t,e, ,t,o, ,a,n, ,e,d,u,c,a,t,i,o,n,a,l, ,p,a,g,e, ,a,i,m,e,d, ,a,t, ,p,r,a,c,t,i,c,i,n,g, ,s,u,b,t,r,a,c,t,i,o,n, ,a,n,d, ,r,e,c,o,g,n,i,z,i,n,g, ,q,u,a,n,t,i,t,i,e,s, ,v,i,s,u,a,l,l,y, ,r,e,p,r,e,s,e,n,t,e,d, ,w,i,t,h, ,b,l,o,c,k,s,., ,T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,i,n,c,l,u,d,e,s, ,c,l,e,a,r, ,i,n,s,t,r,u,c,t,i,o,n, ,a,n,d, ,a,m,p,l,e, ,s,p,a,c,e, ,f,o,r, ,u,s,e,r,s, ,t,o, ,i,n,p,u,t, ,t,h,e,i,r, ,a,n,s,w,e,r,s,,, ,e,n,h,a,n,c,i,n,g, ,i,n,t,e,r,a,c,t,i,v,i,t,y, ,f,o,r, ,e,d,u,c,a,t,i,o,n,a,l, ,p,u,r,p,o,s,e,s,., ,T,h,e, ,s,e,c,t,i,o,n, ,h,e,a,d,i,n,g, ,a,n,d, ,i,n,s,t,r,u,c,t,i,o,n, ,t,e,x,t, ,a,r,e, ,e,x,p,l,i,c,i,t,l,y, ,p,l,a,c,e,d, ,f,o,r, ,e,a,s,y, ,r,e,a,d,a,b,i,l,i,t,y,."
16,1,math2ndgrade_web_assets_result/intermediate_outputs/16_1_adt.html,"T,h,i,s, ,H,T,M,L, ,t,e,m,p,l,a,t,e, ,f,o,c,u,s,e,s, ,o,n, ,p,r,e,s,e,n,t,i,n,g, ,t,h,e, ,g,i,v,e,n, ,m,a,t,h, ,e,x,e,r,c,i,s,e,s, ,i,n, ,a, ,c,l,e,a,r, ,a,n,d, ,f,u,n,c,t,i,o,n,a,l, ,f,o,r,m,a,t,,, ,p,r,o,v,i,d,i,n,g, ,a, ,s,e,c,t,i,o,n, ,f,o,r, ,e,a,c,h, ,e,q,u,a,t,i,o,n, ,w,h,e,r,e, ,s,t,u,d,e,n,t,s, ,c,a,n, ,m,e,n,t,a,l,l,y, ,c,a,l,c,u,l,a,t,e, ,a,n,d, ,v,i,s,u,a,l,i,z,e, ,t,h,e, ,a,r,i,t,h,m,e,t,i,c,."
19,0,math2ndgrade_web_assets_result/intermediate_outputs/19_0_adt.html,"T,o, ,c,o,n,v,e,r,t, ,t,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,i,n,t,o, ,a, ,s,t,r,u,c,t,u,r,e,d, ,a,n,d, ,a,c,c,e,s,s,i,b,l,e, ,H,T,M,L, ,w,e,b, ,p,a,g,e,,, ,I,',v,e, ,b,r,o,k,e,n, ,i,t, ,d,o,w,n, ,u,s,i,n,g, ,h,e,a,d,i,n,g,s, ,a,n,d, ,p,a,r,a,g,r,a,p,h,s,,, ,w,h,i,l,e, ,e,n,s,u,r,i,n,g, ,c,o,m,p,l,i,a,n,c,e, ,w,i,t,h, ,a,c,c,e,s,s,i,b,i,l,i,t,y, ,g,u,i,d,e,l,i,n,e,s,., ,T,h,e, ,T,a,i,l,w,i,n,d, ,C,S,S, ,f,r,a,m,e,w,o,r,k, ,i,s, ,u,s,e,d, ,t,o, ,e,n,s,u,r,e, ,a, ,p,l,e,a,s,a,n,t, ,v,i,s,u,a,l, ,s,t,y,l,e,."
21,1,math2ndgrade_web_assets_result/intermediate_outputs/21_1_adt.html,"I, ,w,i,l,l, ,c,r,e,a,t,e, ,a, ,p,a,g,e, ,f,o,r, ,a, ,t,r,u,e,/,f,a,l,s,e, ,a,c,t,i,v,i,t,y, ,r,e,l,a,t,e,d, ,t,o, ,t,h,e, ,m,a,t,h,e,m,a,t,i,c,a,l, ,e,q,u,a,t,i,o,n, ,p,r,o,v,i,d,e,d,."
27,0,math2ndgrade_web_assets_result/intermediate_outputs/27_0_adt.html,"T,h,e, ,H,T,M,L, ,i,s, ,s,t,r,u,c,t,u,r,e,d, ,t,o, ,p,r,e,s,e,n,t, ,t,h,e, ,l,e,s,s,o,n, ,c,o,n,t,e,n,t, ,i,n, ,a, ,c,l,e,a,r,,, ,a,c,c,e,s,s,i,b,l,e, ,m,a,n,n,e,r,,, ,m,a,i,n,t,a,i,n,i,n,g, ,W,C,A,G, ,c,o,m,p,l,i,a,n,c,e,., ,T,e,x,t, ,e,l,e,m,e,n,t,s, ,a,r,e, ,p,r,o,p,e,r,l,y, ,t,a,g,g,e,d, ,f,o,r, ,c,l,a,r,i,t,y, ,a,n,d, ,o,r,g,a,n,i,z,a,t,i,o,n,."
