page_index,id,language_code,text,type
12,text-12-4,en,Grade 2 Unit 2,footer_text
12,text-12-5,en,Lesson 3,footer_text
12,text-12-6,en,7,page_number
23,text-23-8,en,Grade 2 Unit 2,footer_text
23,text-23-9,en,Lesson 6,footer_text
23,text-23-10,en,18,page_number
25,text-25-10,en,Grade 2 Unit 2,footer_text
25,text-25-11,en,Lesson 7,footer_text
25,text-25-12,en,20,page_number
16,text-16-8,en,Grade 2 Unit 2,footer_text
16,text-16-9,en,Lesson 4,footer_text
16,text-16-10,en,11,page_number
19,text-19-7,en,Grade 2 Unit 2,footer_text
19,text-19-8,en,Lesson 5,footer_text
19,text-19-9,en,14,page_number
18,text-18-5,en,Grade 2 Unit 2,footer_text
18,text-18-6,en,Lesson 5,footer_text
18,text-18-7,en,13,page_number
15,text-15-8,en,Grade 2 Unit 2,footer_text
15,text-15-9,en,Lesson 3,footer_text
15,text-15-10,en,10,page_number
11,text-11-11,en,Grade 2 Unit 2,footer_text
11,text-11-12,en,Lesson 2,footer_text
11,text-11-13,en,6,page_number
10,text-10-5,en,Grade 2 Unit 2,footer_text
10,text-10-6,en,Lesson 2,footer_text
10,text-10-7,en,5,page_number
28,text-28-6,en,Grade 2 Unit 2,footer_text
28,text-28-7,en,Lesson 8,footer_text
28,text-28-8,en,23,page_number
21,text-21-7,en,Grade 2 Unit 2,footer_text
21,text-21-8,en,Lesson 6,footer_text
21,text-21-9,en,16,page_number
17,text-17-8,en,Grade 2 Unit 2,footer_text
17,text-17-9,en,Lesson 5,footer_text
17,text-17-10,en,12,page_number
14,text-14-15,en,Grade 2 Unit 2,footer_text
14,text-14-16,en,Lesson 3,footer_text
14,text-14-17,en,9,page_number
22,text-22-8,en,Grade 2 Unit 2,footer_text
22,text-22-9,en,Lesson 6,footer_text
22,text-22-10,en,17,page_number
30,text-30-0,en,25,page_number
30,text-30-15,en,Grade 2 Unit 2 Lesson 8,footer_text
24,text-24-4,en,Grade 2 Unit 2,footer_text
24,text-24-5,en,Lesson 7,footer_text
24,text-24-6,en,19,page_number
26,text-26-15,en,Grade 2 Unit 2,footer_text
26,text-26-16,en,Lesson 7,footer_text
26,text-26-17,en,21,page_number
29,text-29-2,en,A,other
29,text-29-7,en,B,other
29,text-29-13,en,Grade 2 Unit 2,footer_text
29,text-29-14,en,Lesson 8,footer_text
29,text-29-15,en,24,page_number
27,text-27-8,en,Grade 2 Unit 2,footer_text
27,text-27-9,en,Lesson 8,footer_text
27,text-27-10,en,22,page_number
13,text-13-5,en,Grade 2 Unit 2,footer_text
13,text-13-6,en,Lesson 3,footer_text
13,text-13-7,en,8,page_number
20,text-20-4,en,Grade 2 Unit 2,footer_text
20,text-20-5,en,Lesson 5,footer_text
20,text-20-6,en,15,page_number
