page_index,text_id,base_language_code,target_language_code,status,error
12,text-12-0,en,es,enqueued,
12,text-12-1,en,es,enqueued,
12,text-12-2,en,es,enqueued,
12,text-12-3,en,es,enqueued,
23,text-23-0,en,es,enqueued,
12,text-12-4,en,es,enqueued,
23,text-23-1,en,es,enqueued,
12,text-12-5,en,es,enqueued,
23,text-23-2,en,es,enqueued,
12,text-12-6,en,es,enqueued,
23,text-23-3,en,es,enqueued,
25,text-25-0,en,es,enqueued,
23,text-23-4,en,es,enqueued,
25,text-25-1,en,es,enqueued,
23,text-23-5,en,es,enqueued,
25,text-25-2,en,es,enqueued,
23,text-23-6,en,es,enqueued,
25,text-25-3,en,es,enqueued,
23,text-23-7,en,es,enqueued,
25,text-25-4,en,es,enqueued,
23,text-23-8,en,es,enqueued,
25,text-25-5,en,es,enqueued,
23,text-23-9,en,es,enqueued,
16,text-16-0,en,es,enqueued,
25,text-25-6,en,es,enqueued,
23,text-23-10,en,es,enqueued,
16,text-16-1,en,es,enqueued,
25,text-25-7,en,es,enqueued,
19,text-19-0,en,es,enqueued,
18,text-18-0,en,es,enqueued,
16,text-16-2,en,es,enqueued,
25,text-25-8,en,es,enqueued,
19,text-19-1,en,es,enqueued,
15,text-15-0,en,es,enqueued,
18,text-18-1,en,es,enqueued,
16,text-16-3,en,es,enqueued,
25,text-25-9,en,es,enqueued,
19,text-19-2,en,es,enqueued,
15,text-15-1,en,es,enqueued,
18,text-18-2,en,es,enqueued,
16,text-16-4,en,es,enqueued,
25,text-25-10,en,es,enqueued,
19,text-19-3,en,es,enqueued,
15,text-15-2,en,es,enqueued,
18,text-18-3,en,es,enqueued,
16,text-16-5,en,es,enqueued,
25,text-25-11,en,es,enqueued,
19,text-19-4,en,es,enqueued,
15,text-15-3,en,es,enqueued,
18,text-18-4,en,es,enqueued,
16,text-16-6,en,es,enqueued,
25,text-25-12,en,es,enqueued,
19,text-19-5,en,es,enqueued,
15,text-15-4,en,es,enqueued,
18,text-18-5,en,es,enqueued,
16,text-16-7,en,es,enqueued,
19,text-19-6,en,es,enqueued,
15,text-15-5,en,es,enqueued,
18,text-18-6,en,es,enqueued,
16,text-16-8,en,es,enqueued,
19,text-19-7,en,es,enqueued,
15,text-15-6,en,es,enqueued,
18,text-18-7,en,es,enqueued,
16,text-16-9,en,es,enqueued,
19,text-19-8,en,es,enqueued,
15,text-15-7,en,es,enqueued,
16,text-16-10,en,es,enqueued,
19,text-19-9,en,es,enqueued,
15,text-15-8,en,es,enqueued,
15,text-15-9,en,es,enqueued,
15,text-15-10,en,es,enqueued,
11,text-11-0,en,es,enqueued,
10,text-10-0,en,es,enqueued,
11,text-11-1,en,es,enqueued,
10,text-10-1,en,es,enqueued,
28,text-28-0,en,es,enqueued,
11,text-11-2,en,es,enqueued,
10,text-10-2,en,es,enqueued,
28,text-28-1,en,es,enqueued,
21,text-21-0,en,es,enqueued,
11,text-11-3,en,es,enqueued,
10,text-10-3,en,es,enqueued,
28,text-28-2,en,es,enqueued,
21,text-21-1,en,es,enqueued,
11,text-11-4,en,es,enqueued,
10,text-10-4,en,es,enqueued,
28,text-28-3,en,es,enqueued,
21,text-21-2,en,es,enqueued,
11,text-11-5,en,es,enqueued,
10,text-10-5,en,es,enqueued,
28,text-28-4,en,es,enqueued,
21,text-21-3,en,es,enqueued,
11,text-11-6,en,es,enqueued,
10,text-10-6,en,es,enqueued,
28,text-28-5,en,es,enqueued,
21,text-21-4,en,es,enqueued,
11,text-11-7,en,es,enqueued,
10,text-10-7,en,es,enqueued,
28,text-28-6,en,es,enqueued,
21,text-21-5,en,es,enqueued,
11,text-11-8,en,es,enqueued,
28,text-28-7,en,es,enqueued,
21,text-21-6,en,es,enqueued,
11,text-11-9,en,es,enqueued,
28,text-28-8,en,es,enqueued,
21,text-21-7,en,es,enqueued,
11,text-11-10,en,es,enqueued,
21,text-21-8,en,es,enqueued,
11,text-11-11,en,es,enqueued,
21,text-21-9,en,es,enqueued,
11,text-11-12,en,es,enqueued,
11,text-11-13,en,es,enqueued,
12,text-12-3,en,es,success,
23,text-23-1,en,es,success,
12,text-12-1,en,es,success,
17,text-17-0,en,es,enqueued,
17,text-17-1,en,es,enqueued,
23,text-23-0,en,es,success,
17,text-17-2,en,es,enqueued,
17,text-17-3,en,es,enqueued,
17,text-17-4,en,es,enqueued,
17,text-17-5,en,es,enqueued,
17,text-17-6,en,es,enqueued,
17,text-17-7,en,es,enqueued,
17,text-17-8,en,es,enqueued,
17,text-17-9,en,es,enqueued,
17,text-17-10,en,es,enqueued,
12,text-12-6,en,es,success,
23,text-23-3,en,es,success,
23,text-23-2,en,es,success,
23,text-23-4,en,es,success,
25,text-25-0,en,es,success,
12,text-12-5,en,es,success,
12,text-12-2,en,es,success,
12,text-12-0,en,es,success,
25,text-25-1,en,es,success,
12,text-12-4,en,es,success,
14,text-14-0,en,es,enqueued,
14,text-14-1,en,es,enqueued,
22,text-22-0,en,es,enqueued,
14,text-14-2,en,es,enqueued,
22,text-22-1,en,es,enqueued,
14,text-14-3,en,es,enqueued,
22,text-22-2,en,es,enqueued,
14,text-14-4,en,es,enqueued,
22,text-22-3,en,es,enqueued,
14,text-14-5,en,es,enqueued,
22,text-22-4,en,es,enqueued,
14,text-14-6,en,es,enqueued,
30,text-30-0,en,es,enqueued,
22,text-22-5,en,es,enqueued,
14,text-14-7,en,es,enqueued,
30,text-30-1,en,es,enqueued,
22,text-22-6,en,es,enqueued,
14,text-14-8,en,es,enqueued,
30,text-30-2,en,es,enqueued,
22,text-22-7,en,es,enqueued,
14,text-14-9,en,es,enqueued,
30,text-30-3,en,es,enqueued,
22,text-22-8,en,es,enqueued,
14,text-14-10,en,es,enqueued,
30,text-30-4,en,es,enqueued,
22,text-22-9,en,es,enqueued,
14,text-14-11,en,es,enqueued,
30,text-30-5,en,es,enqueued,
22,text-22-10,en,es,enqueued,
14,text-14-12,en,es,enqueued,
30,text-30-6,en,es,enqueued,
14,text-14-13,en,es,enqueued,
30,text-30-7,en,es,enqueued,
14,text-14-14,en,es,enqueued,
30,text-30-8,en,es,enqueued,
14,text-14-15,en,es,enqueued,
30,text-30-9,en,es,enqueued,
25,text-25-2,en,es,success,
14,text-14-16,en,es,enqueued,
30,text-30-10,en,es,enqueued,
14,text-14-17,en,es,enqueued,
25,text-25-4,en,es,success,
30,text-30-11,en,es,enqueued,
30,text-30-12,en,es,enqueued,
30,text-30-13,en,es,enqueued,
23,text-23-5,en,es,success,
30,text-30-14,en,es,enqueued,
24,text-24-0,en,es,enqueued,
30,text-30-15,en,es,enqueued,
24,text-24-1,en,es,enqueued,
24,text-24-2,en,es,enqueued,
24,text-24-3,en,es,enqueued,
24,text-24-4,en,es,enqueued,
26,text-26-0,en,es,enqueued,
24,text-24-5,en,es,enqueued,
26,text-26-1,en,es,enqueued,
24,text-24-6,en,es,enqueued,
26,text-26-2,en,es,enqueued,
23,text-23-7,en,es,success,
26,text-26-3,en,es,enqueued,
26,text-26-4,en,es,enqueued,
25,text-25-5,en,es,success,
25,text-25-3,en,es,success,
26,text-26-5,en,es,enqueued,
26,text-26-6,en,es,enqueued,
26,text-26-7,en,es,enqueued,
26,text-26-8,en,es,enqueued,
23,text-23-10,en,es,success,
26,text-26-9,en,es,enqueued,
26,text-26-10,en,es,enqueued,
26,text-26-11,en,es,enqueued,
26,text-26-12,en,es,enqueued,
26,text-26-13,en,es,enqueued,
29,text-29-0,en,es,enqueued,
26,text-26-14,en,es,enqueued,
29,text-29-1,en,es,enqueued,
26,text-26-15,en,es,enqueued,
29,text-29-2,en,es,enqueued,
26,text-26-16,en,es,enqueued,
29,text-29-3,en,es,enqueued,
26,text-26-17,en,es,enqueued,
29,text-29-4,en,es,enqueued,
29,text-29-5,en,es,enqueued,
29,text-29-6,en,es,enqueued,
29,text-29-7,en,es,enqueued,
29,text-29-8,en,es,enqueued,
29,text-29-9,en,es,enqueued,
29,text-29-10,en,es,enqueued,
29,text-29-11,en,es,enqueued,
29,text-29-12,en,es,enqueued,
29,text-29-13,en,es,enqueued,
29,text-29-14,en,es,enqueued,
29,text-29-15,en,es,enqueued,
23,text-23-9,en,es,success,
16,text-16-1,en,es,success,
23,text-23-6,en,es,success,
23,text-23-8,en,es,success,
18,text-18-0,en,es,success,
16,text-16-4,en,es,success,
16,text-16-0,en,es,success,
18,text-18-2,en,es,success,
19,text-19-1,en,es,success,
27,text-27-0,en,es,enqueued,
