id,page_index,section_id,section_type,reasoning,language_code,text,status
sectioneli5-11-0,11,0,activity_fill_in_the_blank,"We're teaching kids how to solve simple addition equations using visual aids like blocks. It breaks down the problem into tangible steps. Han sees the need to add more blocks to reach a total of 48, while Mai removes blocks from 48 to find out what's extra when you start from 17. This makes math more relatable and understandable.",es,"Imagina que tienes algunos bloques de juguete para ayudar a resolver un rompecabezas. Primero, Han tiene 17 bloques y quiere averiguar cuántos bloques más necesita para llegar a tener 48 bloques en total. Así que agrega más bloques hasta que cuenta y ve 48 bloques en total.

Luego, Mai comienza con 48 bloques. Ella quiere averiguar cuántos bloques deben quedar para tener solo 17. Entonces, quita bloques hasta que llega a 17 bloques.

¡Esta actividad nos ayuda a ver cómo los números se pueden sumar o restar para resolver problemas como un rompecabezas!",success
sectioneli5-11-1,11,1,activity_fill_in_the_blank,"To solve the equation 21 + _ = 96, we need to figure out what number goes in the blank to make the total equal 96. By subtracting 21 from 96, you can find that missing number.",es,"Imagina que tienes 21 bloques de juguete y necesitas más para tener un total de 96 bloques. Tienes que averiguar cuántos bloques más necesitas. Puedes hacer esto restando 21 de 96, como contando hacia atrás, para ver qué queda. Esto te dirá cuántos bloques necesitas agregar para llegar a 96. ¡Luego, muestra a tu amigo cómo lo resolviste!",success
sectioneli5-12-0,12,0,text_only,"The section introduces the concept of addition and subtraction through story problems, encouraging children to visualize and solve problems in a practical context. The diagrams help children understand numbers by showing them in groups, making it easier to comprehend the process of adding or subtracting.",es,"Hoy, estamos aprendiendo cómo resolver problemas matemáticos usando sumas y restas. Imagina que tienes una historia donde alguien da o quita cosas, como juguetes o bocadillos. Usamos la suma para saber cuántas cosas tenemos en total, y la resta para ver qué queda cuando se quitan algunas. ¡Las imágenes con bloques nos muestran grupos de 10 y 1 para ayudarnos a contar mejor!",success
sectioneli5-12-1,12,1,activity_open_ended_answer,The images show base-ten diagrams which are used to visually understand numbers. This helps children grasp the concept of counting and adding by grouping units to make tens.,es,"Estamos observando imágenes llamadas diagramas de base diez. Son como bloques que nos ayudan a ver los números. Cada pila alta es diez, y cada cubo pequeño es uno. Los usamos para ver cuántas cosas tenemos y para ayudarnos a sumar o restar observando estos bloques.",success
sectioneli5-13-0,13,0,text_and_images,"To figure out how many students were on the bus originally, we need to understand that the total number of students now includes both the students who were originally on the bus and the 34 new students who got on later. We know the total is 55, so we work backwards: subtract the 34 new students from 55 to find the original number of students.",es,"Imagina que vas al zoológico con tus amigos. Algunos niños ya están en el autobús. Luego, 34 niños más suben. Ahora hay 55 niños en el autobús. Para averiguar cuántos niños había inicialmente, restamos los 34 niños que subieron de los 55 niños totales. Entonces, 55 menos 34 es igual a 21. Eso significa que 21 niños estaban en el autobús al principio.",success
sectioneli5-14-1,14,1,activity_open_ended_answer,The problem is about comparing two numbers to find the difference. This helps young students understand basic subtraction and comparing quantities to see which is larger or by how much.,es,"Imagina que tienes 58 caramelos en un frasco y 27 caramelos en otro frasco. Para averiguar cuántos caramelos más hay en el primer frasco, restas el número más pequeño del número más grande. Entonces, debes quitar 27 de 58. Esto te da 31 caramelos más en el primer frasco. En el problema, 31 estudiantes más fueron a ver a los osos que a los leones.",success
sectioneli5-14-2,14,2,activity_open_ended_answer,"To find out how many birds are outside, we need to subtract the number inside from the total number of birds. This helps us find out exactly how many birds were placed outside.",es,"Imagina que tienes 88 pájaros de juguete. Pones 34 de estos pájaros dentro de una casa especial. Para saber cuántos pájaros están fuera de la casa, cuentas todos los pájaros, restas cuántos están dentro, y eso te da el número de pájaros fuera. Entonces, haces 88 menos 34, y así es como sabes cuántos pájaros están afuera. ¡Es como resolver un rompecabezas para averiguar dónde están todos tus pájaros!",success
sectioneli5-14-0,14,0,activity_open_ended_answer,The task requires subtraction to find out how many students remain after some have left. We start with the total and subtract the number who left.,es,"Imagina que tienes 65 caramelos. Luego, regalas 23 caramelos a tus amigos. Para saber cuántos te quedan, tomas tus 65 caramelos y restas los 23 que regalaste. Entonces, 65 menos 23 nos dice cuántos caramelos te quedas.

Es como la casa de los monos donde había 65 estudiantes al principio. Cuando 23 se fueron a ver a los hipopótamos, restas 23 de 65 para saber cuántos quedan en la casa de los monos.",success
sectioneli5-15-0,15,0,text_and_images,"The section explains using addition and subtraction with two-digit numbers by breaking down the numbers into tens and ones. It uses visual aids like blocks to simplify the concept, showing how subtracting tens and ones separately makes it easier to understand.",es,"En esta sección, aprendimos cómo sumar y restar números más grandes observando sus partes. Imagina usar bloques donde algunos bloques son pilas de diez y otros son unidades individuales.

Entonces, cuando restas 50 - 30, miras los bloques de decenas: 5 decenas menos 3 decenas dejan 2 decenas, que es 20.

Luego, para 5 - 4, es como restar los bloques pequeños de uno, dejando 1.

Finalmente, suma 20 + 1 para obtener 21. Usar estas ideas de bloques nos ayuda a ver cómo los números funcionan juntos.",success
sectioneli5-16-0,16,0,text_only,The text is about a lesson in which children practice basic math skills like adding and subtracting through engaging activities.,es,Hoy vamos a divertirnos jugando a juegos que nos ayudarán a mejorar en sumar y restar números. ¡Estos juegos harán que practicar matemáticas sea una aventura divertida!,success
