id,page_index,text_id,status,error
easyread-text-11-0,11,text-11-0,enqueued,
easyread-text-11-0,11,text-11-0,enqueued,
easyread-text-11-0,11,text-11-0,success,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-10-1,10,text-10-1,enqueued,
easyread-text-10-1,10,text-10-1,enqueued,
easyread-text-10-2,10,text-10-2,enqueued,
easyread-text-10-2,10,text-10-2,enqueued,
easyread-text-11-0,11,text-11-0,success,
easyread-text-10-2,10,text-10-2,success,
easyread-text-10-2,10,text-10-2,success,
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-12-1,12,text-12-1,enqueued,
easyread-text-12-1,12,text-12-1,enqueued,
easyread-text-10-1,10,text-10-1,success,
easyread-text-12-2,12,text-12-2,enqueued,
easyread-text-12-2,12,text-12-2,enqueued,
easyread-text-12-3,12,text-12-3,enqueued,
easyread-text-12-3,12,text-12-3,enqueued,
easyread-text-10-0,10,text-10-0,success,
easyread-text-12-4,12,text-12-4,enqueued,
easyread-text-12-4,12,text-12-4,enqueued,
easyread-text-12-5,12,text-12-5,enqueued,
easyread-text-12-5,12,text-12-5,enqueued,
easyread-text-12-6,12,text-12-6,enqueued,
easyread-text-12-6,12,text-12-6,enqueued,
easyread-text-12-7,12,text-12-7,enqueued,
easyread-text-12-7,12,text-12-7,enqueued,
easyread-text-12-8,12,text-12-8,enqueued,
easyread-text-12-8,12,text-12-8,enqueued,
easyread-text-10-0,10,text-10-0,success,
easyread-text-12-1,12,text-12-1,success,
easyread-text-10-1,10,text-10-1,success,
easyread-text-12-6,12,text-12-6,success,
easyread-text-12-2,12,text-12-2,success,
easyread-text-12-2,12,text-12-2,success,
easyread-text-12-6,12,text-12-6,success,
easyread-text-12-3,12,text-12-3,success,
easyread-text-12-3,12,text-12-3,success,
easyread-text-12-4,12,text-12-4,success,
easyread-text-12-4,12,text-12-4,success,
easyread-text-12-8,12,text-12-8,success,
easyread-text-12-5,12,text-12-5,success,
easyread-text-12-1,12,text-12-1,success,
easyread-text-12-0,12,text-12-0,success,
easyread-text-12-7,12,text-12-7,success,
easyread-text-12-5,12,text-12-5,success,
easyread-text-12-7,12,text-12-7,success,
easyread-text-17-0,17,text-17-0,enqueued,
easyread-text-17-0,17,text-17-0,enqueued,
easyread-text-17-1,17,text-17-1,enqueued,
easyread-text-17-1,17,text-17-1,enqueued,
easyread-text-17-2,17,text-17-2,enqueued,
easyread-text-17-2,17,text-17-2,enqueued,
easyread-text-17-3,17,text-17-3,enqueued,
easyread-text-17-3,17,text-17-3,enqueued,
easyread-text-17-4,17,text-17-4,enqueued,
easyread-text-17-4,17,text-17-4,enqueued,
easyread-text-17-5,17,text-17-5,enqueued,
easyread-text-17-5,17,text-17-5,enqueued,
easyread-text-17-6,17,text-17-6,enqueued,
easyread-text-17-6,17,text-17-6,enqueued,
easyread-text-17-7,17,text-17-7,enqueued,
easyread-text-17-7,17,text-17-7,enqueued,
easyread-text-17-8,17,text-17-8,enqueued,
easyread-text-17-8,17,text-17-8,enqueued,
easyread-text-17-9,17,text-17-9,enqueued,
easyread-text-17-9,17,text-17-9,enqueued,
easyread-text-12-8,12,text-12-8,success,
easyread-text-19-0,19,text-19-0,enqueued,
easyread-text-18-0,18,text-18-0,enqueued,
easyread-text-19-0,19,text-19-0,enqueued,
