page_index,id,language_code,text,type,section_id,section_type,translation_target
10,text-10-0,es,Dibuja y escribe aquí qué te gusta hacer en tu tiempo libre.,instruction_text,0,activity_open_ended_answer,en
10,text-10-1,es,Dibuja y escribe aquellas cosas que sabes hacer muy bien.,instruction_text,1,activity_open_ended_answer,en
12,text-12-0,es,LUCES Y SOMBRAS,chapter_title,0,text_and_images,en
12,text-12-1,es,¿CON QUIÉN CORRE ELENA?,section_heading,0,text_and_images,en
12,text-12-2,es,No es un niño.,section_text,0,text_and_images,en
12,text-12-3,es,No es una mascota.,section_text,0,text_and_images,en
12,text-12-4,es,No es un atleta.,section_text,0,text_and_images,en
12,text-12-5,es,"Solo corre, si Elena corre iluminada por una luz.",section_text,0,text_and_images,en
12,text-12-6,es,Elena corre con,section_text,0,text_and_images,en
13,text-13-14,es,Quizás fue por eso que Elena hizo pucheros cuando la mamá y el papá le dijeron que tenía que pasar toda la tarde y la noche en casa del abuelo Enrique.,section_text,4,text_only,en
13,text-13-15,es,—No quiero ir a lo del abuelo —dijo Elena—.,section_text,4,text_only,en
13,text-13-16,es,Me aburro.,section_text,4,text_only,en
13,text-13-17,es,—Pero si tiene una casa con un jardín precioso —contestó el papá.,section_text,4,text_only,en
13,text-13-18,es,"—Me aburro —dijo Elena, con capricho y cara de trompa—.",section_text,5,text_only,en
13,text-13-23,es,Y la vecina de al lado también es vieja.,section_text,6,text_only,en
13,text-13-20,es,"¿Quién va a jugar conmigo? No tiene perros ni gatos, ni siquiera una tortuga.",section_text,5,text_only,en
13,text-13-22,es,—A mí me gusta correr.,section_text,6,text_only,en
13,text-13-13,es,Ni los libros dibujados.,section_text,3,text_only,en
13,text-13-24,es,—No le hagas caso —intervino la mamá.,section_text,6,text_only,en
13,text-13-19,es,El abuelo apenas si puede caminar.,section_text,5,text_only,en
13,text-13-12,es,Ni los helados.,section_text,3,text_only,en
13,text-13-8,es,Y no tenía miedo de correr contra su papá.,section_text,2,text_only,en
13,text-13-10,es,No había nada en el mundo que le gustara más que correr carreras.,section_text,3,text_only,en
13,text-13-9,es,—¡Perdí!,section_text,2,text_only,en
13,text-13-25,es,"—Vamos, Elena, a casa del abuelo Enrique y… ¡a pasarla bien!",section_text,6,text_only,en
13,text-13-7,es,—¡¡Gané!!,section_text,2,text_only,en
13,text-13-6,es,Desafiaba a su tortuga.,section_text,2,text_only,en
13,text-13-5,es,—¡¡Perdí!!,section_text,1,text_only,en
13,text-13-4,es,También corría contra su perro.,section_text,1,text_only,en
13,text-13-3,es,—¡¡Gané!!,section_text,1,text_only,en
13,text-13-2,es,Corría contra su hermano que gateaba.,section_text,1,text_only,en
13,text-13-1,es,A Elena le encantaba correr carreras.,section_text,1,text_only,en
13,text-13-0,es,¿QUIÉN CORRE CONMIGO?,chapter_title,0,text_only,en
13,text-13-11,es,Ni la tele.,section_text,3,text_only,en
13,text-13-26,es,Que los chicos que nunca juegan solos cuando sean grandes van a ser grandes tontos.,section_text,6,text_only,en
13,text-13-21,es,"—Tiene unos libros fabulosos —dijo el papá, que era el hijo del abuelo Enrique y se había puesto triste con las palabras de Elena.",section_text,5,text_only,en
14,text-14-14,es,"Elena corrió veloz, más veloz que las liebres en el campo.",section_text,3,text_only,en
14,text-14-25,es,La sombra se apuró.,section_text,6,text_only,en
14,text-14-24,es,"La sombra corrió ligero, más ligero que las nubes en el cielo.",section_text,6,text_only,en
14,text-14-23,es,"Elena corrió veloz, más veloz que el rayo.",section_text,6,text_only,en
14,text-14-22,es,"Rápido, rápido, rápido.",section_text,5,text_only,en
14,text-14-21,es,"Corrieron, corrieron, corrieron.",section_text,5,text_only,en
14,text-14-20,es,"—¡Ahora corran hacia acá! —gritó el abuelo—. A sus marcas, listas, ¡ya!",section_text,5,text_only,en
14,text-14-19,es,A Elena no le gustaba perder.,section_text,4,text_only,en
14,text-14-18,es,"—¡Perdí!, ¡perdí contra mi propia sombra! —refunfuñó enojada.",section_text,4,text_only,en
14,text-14-17,es,Pero la sombra siempre iba un pasito adelante.,section_text,3,text_only,en
14,text-14-16,es,Elena se apuró.,section_text,3,text_only,en
14,text-14-15,es,"La sombra corrió ligero, más ligero que los leones en la selva.",section_text,3,text_only,en
14,text-14-26,es,Pero Elena siempre iba un pasito adelante.,section_text,6,text_only,en
14,text-14-0,es,Así fue como Elena tuvo que ir igual a casa de su abuelo.,section_text,0,text_only,en
14,text-14-12,es,"Corrieron, corrieron, corrieron.",section_text,2,text_only,en
14,text-14-11,es,"—A sus marcas, listas, ¡ya!",section_text,2,text_only,en
14,text-14-10,es,El abuelo dio la señal de largada:,section_text,2,text_only,en
14,text-14-9,es,"—¿Miedo, mi sombra? —respondió Elena, orgullosa—. ¡Estoy lista para correr!",section_text,1,text_only,en
14,text-14-8,es,—¿Te da miedo? —la desafió el abuelo.,section_text,1,text_only,en
14,text-14-7,es,—¿Contra mi sombra?,section_text,1,text_only,en
14,text-14-6,es,—¿Por qué no corrés contra tu sombra?,section_text,1,text_only,en
14,text-14-5,es,"—Me aburro, no tengo contra quién correr.",section_text,1,text_only,en
14,text-14-4,es,"—¿Qué pasa, Elena, que tenés esa trompa? —le preguntó el abuelo.",section_text,1,text_only,en
14,text-14-3,es,A ella le gustaba el desafío de las carreras.,section_text,0,text_only,en
14,text-14-2,es,Pero pronto se aburrió.,section_text,0,text_only,en
14,text-14-1,es,"Al principio dio unas vueltas al jardín, corriendo.",section_text,0,text_only,en
14,text-14-13,es,"Rápido, rápido, rápido.",section_text,2,text_only,en
14,text-14-27,es,—¡Gané! —festejó Elena—. ¡Soy más rápida que mi sombra!,section_text,6,text_only,en
15,text-15-36,es,Al principio todo estaba oscuro.,section_text,3,text_only,en
15,text-15-9,es,—Siempre ganarás —aseguró el abuelo—.,section_text,0,text_only,en
15,text-15-35,es,"Cuando Elena se durmió, su abuelo salió al jardín.",section_text,3,text_only,en
15,text-15-34,es,"Al final, la tarde en casa del abuelo había resultado de lo más emocionante.",section_text,3,text_only,en
15,text-15-33,es,"¿Quién no habría tenido sueño, después de tantas carreras?",section_text,3,text_only,en
15,text-15-32,es,"Pero Elena estaba tan cansada que después de comer cinco bocados apoyó la cabeza en el plato, con la tortilla de almohada.",section_text,3,text_only,en
15,text-15-8,es,"—¿Nunca? —preguntó Elena, ilusionada.",section_text,0,text_only,en
15,text-15-7,es,"Quien lo conoce, nunca más pierde una carrera contra ellas.",section_text,0,text_only,en
15,text-15-6,es,—Ahora que has ganado y has perdido muchas veces te voy a enseñar el Gran Secreto para Vencer a las Sombras.,section_text,0,text_only,en
15,text-15-5,es,"Al rato, el abuelo se acercó y le dijo:",section_text,0,text_only,en
15,text-15-4,es,"Cada vez que ganaba, una sonrisa enorme les sacaba lustre a los dientes.",section_text,0,text_only,en
15,text-15-3,es,"Cada vez que perdía, algunas lágrimas le hacían brillar los ojos.",section_text,0,text_only,en
15,text-15-2,es,Corrió varias carreras.,section_text,0,text_only,en
15,text-15-1,es,A Elena le encantaba ganar.,section_text,0,text_only,en
15,text-15-11,es,GRAN SECRETO PARA VENCER A LAS SOMBRAS,standalone_text,1,text_only,en
15,text-15-12,es,"Cuando al sol la cara pones,",section_text,1,text_only,en
15,text-15-13,es,sombra muerde tus talones.,section_text,1,text_only,en
15,text-15-14,es,"Corras lento o ligero,",section_text,1,text_only,en
15,text-15-15,es,siempre llegarás primero.,section_text,1,text_only,en
15,text-15-16,es,"Cuando el sol está a tu espalda,",section_text,1,text_only,en
15,text-15-17,es,"sombra ante ti se alarga,",section_text,1,text_only,en
15,text-15-18,es,"y aunque corras mucho y duro,",section_text,1,text_only,en
15,text-15-19,es,ella ganará seguro.,section_text,1,text_only,en
15,text-15-20,es,Elena repitió los versos una vez y otra hasta que los aprendió de memoria.,section_text,2,text_only,en
15,text-15-21,es,—Ahora sí —dijo el abuelo—.,section_text,2,text_only,en
15,text-15-22,es,Estás lista para vencer.,section_text,2,text_only,en
15,text-15-23,es,"Como conocía el Gran Secreto para Vencer a las Sombras, Elena solamente corrió con el sol de frente.",section_text,2,text_only,en
15,text-15-24,es,"—¡Gané!, ¡gané! y ¡gané! —gritó después de cada carrera.",section_text,2,text_only,en
15,text-15-25,es,A Elena le encantaba ganar.,section_text,3,text_only,en
15,text-15-26,es,"En total, el abuelo contó ochenta y siete victorias.",section_text,3,text_only,en
15,text-15-27,es,Hasta que llegó la noche.,section_text,3,text_only,en
15,text-15-28,es,"Y, de un momento a otro, todas las sombras desaparecieron del jardín.",section_text,3,text_only,en
15,text-15-29,es,La sombra de Elena también.,section_text,3,text_only,en
15,text-15-30,es,"Como no tenía contra quién correr, Elena entró en la casa.",section_text,3,text_only,en
15,text-15-31,es,El abuelo había cocinado una inmensa tortilla de papas.,section_text,3,text_only,en
15,text-15-10,es,El secreto dice así:,section_text,0,text_only,en
15,text-15-37,es,"Pero, de repente, salió la luna.",section_text,3,text_only,en
15,text-15-38,es,"No bien asomó su hocico blanco por detrás de los árboles, todas las cosas recuperaron su sombra.",section_text,3,text_only,en
16,text-16-12,es,Le gusta,activity_input_placeholder_text,1,activity_open_ended_answer,en
16,text-16-11,es,Cuando corre,activity_input_placeholder_text,1,activity_open_ended_answer,en
16,text-16-10,es,Usa,activity_input_placeholder_text,1,activity_open_ended_answer,en
16,text-16-9,es,Tiene,activity_input_placeholder_text,1,activity_open_ended_answer,en
16,text-16-8,es,Elena es una niña que vive con su familia.,section_text,1,activity_open_ended_answer,en
16,text-16-7,es,Escribe un retrato de Elena utilizando la información del esquema y otros datos del cuento.,instruction_text,1,activity_open_ended_answer,en
16,text-16-6,es,Championes.,image_label,0,activity_labeling,en
16,text-16-5,es,Rodillas lastimadas.,image_label,0,activity_labeling,en
16,text-16-4,es,Piernas muy veloces.,image_label,0,activity_labeling,en
16,text-16-3,es,Corazón que late rápido cuando corre.,image_label,0,activity_labeling,en
16,text-16-2,es,Melena despeinada por correr.,image_label,0,activity_labeling,en
16,text-16-1,es,Completa los cuadros vacíos agregando información sobre ella.,instruction_text,0,activity_labeling,en
16,text-16-0,es,Esta es Elena.,section_heading,0,activity_labeling,en
17,text-17-4,es,"Me aburro, no tengo con quién correr.",image_overlay,0,activity_fill_in_the_blank,en
17,text-17-0,es,¿QUÉ DIJERON?,section_heading,0,activity_fill_in_the_blank,en
17,text-17-8,es,¡Ahora sí estás lista para vencer!,image_overlay,0,activity_fill_in_the_blank,en
17,text-17-7,es,El abuelo le enseñó un secreto.,section_text,0,activity_fill_in_the_blank,en
17,text-17-6,es,"Pero no siempre ganaba, entonces refunfuñó:",section_text,0,activity_fill_in_the_blank,en
17,text-17-5,es,¿Por qué no corres contra tu sombra?,image_overlay,0,activity_fill_in_the_blank,en
17,text-17-1,es,Completa los globos de acuerdo con el cuento.,instruction_text,0,activity_fill_in_the_blank,en
17,text-17-3,es,El abuelo le dio una idea.,section_text,0,activity_fill_in_the_blank,en
17,text-17-2,es,"Un día, Elena fue a la casa de su abuelo.",section_text,0,activity_fill_in_the_blank,en
18,text-18-5,es,Elena corrió contra la sombra,section_text,0,activity_fill_in_the_blank,en
18,text-18-6,es,"Al rato, el abuelo, al ver que estaba malhumorada,",section_text,0,activity_fill_in_the_blank,en
18,text-18-7,es,"Como ya conocía el gran secreto para vencer a la sombra, Elena nunca más perdió, porque",section_text,0,activity_fill_in_the_blank,en
18,text-18-3,es,"En la casa del abuelo,",instruction_text,0,activity_fill_in_the_blank,en
18,text-18-0,es,Completa el resumen del cuento.,instruction_text,0,activity_fill_in_the_blank,en
18,text-18-1,es,"Leer el cuento otra vez, te puede ayudar.",hint,0,activity_fill_in_the_blank,en
18,text-18-4,es,El abuelo le dio una idea para no aburrirse:,instruction_text,0,activity_fill_in_the_blank,en
18,text-18-2,es,Un día Elena se tuvo que quedar a dormir en la casa de su abuelo Enrique.,section_text,0,activity_fill_in_the_blank,en
19,text-19-18,es,El abuelo Enrique contó ochenta y siete victorias.,section_text,1,activity_open_ended_answer,en
19,text-19-17,es,Te puede ser útil:,boxed_text,2,other,en
19,text-19-11,es,El abuelo Enrique,activity_option,0,activity_matching,en
19,text-19-15,es,ochenta y siete victorias.,activity_option,0,activity_matching,en
19,text-19-0,es,El abuelo Enrique,section_heading,0,activity_matching,en
19,text-19-1,es,Une con una flecha las expresiones de cada columna para formar enunciados.,instruction_text,0,activity_matching,en
19,text-19-2,es,Escribe los enunciados que has formado.,instruction_text,1,activity_open_ended_answer,en
19,text-19-3,es,Numéralos teniendo en cuenta el orden de los acontecimientos en la historia.,instruction_text,1,activity_open_ended_answer,en
