page_index,section_id,html_path,reasoning
10,0,c3_10_30_web_assets_result/intermediate_outputs/10_0_adt.html,"T,h,i,s, ,H,T,M,L, ,l,a,y,o,u,t, ,c,r,e,a,t,e,s, ,a, ,v,i,s,u,a,l,l,y, ,c,l,e,a,r, ,a,n,d, ,e,n,g,a,g,i,n,g, ,w,a,y, ,f,o,r, ,s,t,u,d,e,n,t,s, ,t,o, ,i,n,t,e,r,a,c,t, ,w,i,t,h, ,t,h,e, ,a,c,t,i,v,i,t,y, ,p,r,o,m,p,t,s,., ,T,h,e, ,u,s,e, ,o,f, ,T,a,i,l,w,i,n,d, ,C,S,S, ,p,r,o,v,i,d,e,s, ,h,a,r,m,o,n,y, ,w,i,t,h, ,m,o,d,e,r,n, ,d,e,s,i,g,n, ,a,e,s,t,h,e,t,i,c,s, ,a,n,d, ,r,e,s,p,o,n,s,i,v,e,n,e,s,s,."
10,1,c3_10_30_web_assets_result/intermediate_outputs/10_1_adt.html,"T,h,e, ,H,T,M,L, ,i,s, ,s,t,r,u,c,t,u,r,e,d, ,t,o, ,a,l,l,o,w, ,u,s,e,r,s, ,t,o, ,i,n,t,e,r,a,c,t,i,v,e,l,y, ,e,n,g,a,g,e, ,w,i,t,h, ,a,n, ,o,p,e,n,-,e,n,d,e,d, ,a,c,t,i,v,i,t,y,,, ,w,h,e,r,e, ,t,h,e,y, ,c,a,n, ,d,r,a,w, ,a,n,d, ,w,r,i,t,e, ,a,b,o,u,t, ,t,h,i,n,g,s, ,t,h,e,y, ,l,i,k,e, ,t,o, ,d,o,., ,T,h,e, ,l,a,y,o,u,t, ,c,a,t,e,r,s, ,t,o, ,p,r,o,v,i,d,i,n,g, ,a,m,p,l,e, ,s,p,a,c,e, ,f,o,r, ,t,e,x,t, ,i,n,p,u,t,s, ,w,h,i,l,e, ,m,a,i,n,t,a,i,n,i,n,g, ,a, ,c,l,e,a,n, ,a,n,d, ,o,r,g,a,n,i,z,e,d, ,l,o,o,k,."
13,0,c3_10_30_web_assets_result/intermediate_outputs/13_0_adt.html,"T,h,e, ,s,t,r,u,c,t,u,r,e, ,a,l,i,g,n,s, ,w,i,t,h, ,t,h,e, ,r,e,q,u,i,r,e,m,e,n,t,s, ,f,o,r, ,a, ,t,e,x,t,-,o,n,l,y, ,s,e,c,t,i,o,n,,, ,f,o,c,u,s,i,n,g, ,o,n, ,t,e,x,t, ,p,r,o,v,i,d,e,d, ,w,i,t,h,o,u,t, ,i,m,a,g,e,s,., ,E,a,c,h, ,p,a,r,a,g,r,a,p,h, ,i,s, ,c,o,n,t,a,i,n,e,d, ,w,i,t,h,i,n, ,a, ,s,p,a,n, ,f,o,r, ,r,e,a,d,a,b,i,l,i,t,y, ,a,n,d, ,s,t,r,u,c,t,u,r,e,."
13,5,c3_10_30_web_assets_result/intermediate_outputs/13_5_adt.html,"I, ,s,t,r,u,c,t,u,r,e,d, ,t,h,e, ,H,T,M,L, ,t,o, ,i,n,c,l,u,d,e, ,a,p,p,r,o,p,r,i,a,t,e, ,s,e,m,a,n,t,i,c, ,e,l,e,m,e,n,t,s, ,s,u,c,h, ,a,s, ,h,e,a,d,i,n,g, ,a,n,d, ,p,a,r,a,g,r,a,p,h, ,t,a,g,s,., ,T,h,e, ,t,e,x,t, ,i,s, ,o,r,g,a,n,i,z,e,d, ,t,o, ,m,a,i,n,t,a,i,n, ,n,a,r,r,a,t,i,v,e, ,f,l,o,w, ,a,n,d, ,c,l,a,r,i,t,y,."
13,1,c3_10_30_web_assets_result/intermediate_outputs/13_1_adt.html,"I,',l,l, ,u,s,e, ,t,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,e,l,e,m,e,n,t,s, ,a,n,d, ,e,n,s,u,r,e, ,t,h,e,y, ,a,r,e, ,p,r,o,p,e,r,l,y, ,s,t,r,u,c,t,u,r,e,d, ,i,n, ,H,T,M,L, ,u,s,i,n,g, ,T,a,i,l,w,i,n,d, ,C,S,S,., ,T,h,e, ,`,<,s,e,c,t,i,o,n,>,`, ,w,i,l,l, ,b,e, ,i,n,c,l,u,d,e,d, ,t,o, ,w,r,a,p, ,t,h,e, ,m,a,i,n, ,c,o,n,t,e,n,t, ,a,s, ,s,p,e,c,i,f,i,e,d,."
13,3,c3_10_30_web_assets_result/intermediate_outputs/13_3_adt.html,"T,h,e, ,H,T,M,L, ,i,s, ,s,t,r,u,c,t,u,r,e,d, ,a,c,c,o,r,d,i,n,g, ,t,o, ,t,h,e, ,p,r,o,m,p,t,,, ,u,s,i,n,g, ,a,l,l, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,w,i,t,h, ,d,a,t,a,-,i,d, ,a,t,t,r,i,b,u,t,e,s,., ,M,u,l,t,i,p,l,e, ,s,e,c,t,i,o,n, ,t,e,x,t, ,e,l,e,m,e,n,t,s, ,a,r,e, ,u,s,e,d, ,t,o, ,a,d,d, ,s,t,r,u,c,t,u,r,e, ,a,n,d, ,s,e,p,a,r,a,t,i,o,n,."
13,2,c3_10_30_web_assets_result/intermediate_outputs/13_2_adt.html,"T,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,f,r,a,g,m,e,n,t, ,f,o,r,m,s, ,p,a,r,t, ,o,f, ,a, ,s,t,o,r,y, ,a,r,o,u,n,d, ,E,l,e,n,a, ,a,n,d, ,h,e,r, ,a,d,v,e,n,t,u,r,e,s, ,r,u,n,n,i,n,g, ,a,g,a,i,n,s,t, ,v,a,r,i,o,u,s, ,c,h,a,l,l,e,n,g,e,s,., ,T,h,e, ,H,T,M,L, ,w,i,l,l, ,r,e,f,l,e,c,t, ,t,h,i,s, ,c,o,n,t,e,x,t, ,w,i,t,h, ,a, ,f,o,c,u,s, ,o,n, ,r,e,a,d,a,b,i,l,i,t,y,."
13,4,c3_10_30_web_assets_result/intermediate_outputs/13_4_adt.html,"T,h,e, ,c,o,n,t,e,n,t, ,f,o,c,u,s,e,s, ,o,n, ,a, ,d,i,a,l,o,g,u,e, ,a,n,d, ,b,r,i,e,f, ,d,e,s,c,r,i,p,t,i,o,n, ,o,f, ,E,l,e,n,a,',s, ,s,i,t,u,a,t,i,o,n,., ,T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,p,r,o,v,i,d,e,s, ,a, ,c,l,e,a,n, ,a,n,d, ,s,i,m,p,l,e, ,p,r,e,s,e,n,t,a,t,i,o,n, ,t,o, ,e,n,s,u,r,e, ,t,e,x,t, ,r,e,a,d,a,b,i,l,i,t,y, ,a,n,d, ,m,a,i,n,t,a,i,n, ,t,h,e, ,n,a,r,r,a,t,i,v,e,',s, ,c,o,n,t,e,x,t,."
23,0,c3_10_30_web_assets_result/intermediate_outputs/23_0_adt.html,"F,o,r, ,t,h,i,s, ,H,T,M,L, ,o,u,t,p,u,t,,, ,I,',v,e, ,u,s,e,d, ,t,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,c,o,n,t,e,n,t, ,w,i,t,h, ,a,p,p,r,o,p,r,i,a,t,e, ,H,T,M,L, ,t,a,g,s,,, ,a,n,d, ,a,d,d,e,d, ,s,o,m,e, ,b,a,s,i,c, ,s,t,y,l,i,n,g, ,u,s,i,n,g, ,T,a,i,l,w,i,n,d, ,C,S,S, ,t,o, ,m,a,t,c,h, ,t,h,e, ,c,o,n,t,e,x,t, ,o,f, ,t,h,e, ,p,a,g,e, ,i,m,a,g,e,., ,I,t, ,r,e,s,p,e,c,t,s, ,a,l,l, ,c,o,n,d,i,t,i,o,n,s, ,s,u,c,h, ,a,s, ,u,s,i,n,g, ,<,s,e,c,t,i,o,n,>, ,f,o,r, ,t,h,e, ,m,a,i,n, ,c,o,n,t,e,n,t, ,w,h,i,l,e, ,m,a,i,n,t,a,i,n,i,n,g, ,c,l,e,a,r, ,h,e,a,d,i,n,g,s,,, ,p,a,r,a,g,r,a,p,h,s,,, ,a,n,d, ,s,e,m,a,n,t,i,c, ,s,t,r,u,c,t,u,r,e,."
17,0,c3_10_30_web_assets_result/intermediate_outputs/17_0_adt.html,"T,h,i,s, ,H,T,M,L, ,i,s, ,d,e,s,i,g,n,e,d, ,t,o, ,r,e,f,l,e,c,t, ,t,h,e, ,s,t,r,u,c,t,u,r,e, ,a,n,d, ,s,t,y,l,e, ,o,f, ,t,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t,b,o,o,k, ,p,a,g,e, ,i,m,a,g,e,., ,E,a,c,h, ,s,p,e,e,c,h, ,b,u,b,b,l,e, ,h,a,s, ,a, ,f,i,l,l,-,i,n,-,t,h,e,-,b,l,a,n,k, ,e,l,e,m,e,n,t,,, ,s,t,y,l,e,d, ,t,o, ,m,a,t,c,h, ,t,h,e, ,n,a,r,r,a,t,i,v,e, ,f,l,o,w, ,b,e,t,w,e,e,n, ,E,l,e,n,a, ,a,n,d, ,h,e,r, ,g,r,a,n,d,f,a,t,h,e,r,,, ,e,n,s,u,r,i,n,g, ,c,l,a,r,i,t,y, ,a,n,d, ,e,n,g,a,g,e,m,e,n,t, ,f,o,r, ,t,h,e, ,u,s,e,r,."
