page_index,section_id,section_type,text_ids,image_ids,reasoning
10,0,activity_open_ended_answer,text-10-0,,The page contains two distinct open-ended activities where students are asked to draw and write about different topics. Each prompt is separate and requires its own section.
10,1,activity_open_ended_answer,text-10-1,,The page contains two distinct open-ended activities where students are asked to draw and write about different topics. Each prompt is separate and requires its own section.
12,0,text_and_images,"text-12-0,text-12-1,text-12-2,text-12-3,text-12-4,text-12-5,text-12-6",,"The page contains a thematic title, a question, and a riddle-like text that leads to an open-ended activity. The text is cohesive and related to the question, making it a single section."
18,0,activity_fill_in_the_blank,"text-18-0,text-18-1,text-18-2,text-18-3,text-18-4,text-18-5,text-18-6,text-18-7",,"The page consists of a single activity where students are asked to complete a summary of a story. Each text id is part of the instructions or the prompts for filling in the blanks, making it a cohesive fill-in-the-blank activity."
17,0,activity_fill_in_the_blank,"text-17-0,text-17-1,text-17-2,text-17-3,text-17-4,text-17-5,text-17-6,text-17-7,text-17-8",,"The page contains a single activity where students are asked to complete speech bubbles based on a story. The text provides context and dialogue for the activity, making it a fill-in-the-blank exercise."
16,0,activity_labeling,"text-16-0,text-16-1,text-16-2,text-16-3,text-16-4,text-16-5,text-16-6",,"The page contains two main activities: one is a labeling activity where students add information about Elena, and the other is an open-ended activity where students write a description of Elena using the given information."
16,1,activity_open_ended_answer,"text-16-7,text-16-8,text-16-9,text-16-10,text-16-11,text-16-12",,"The page contains two main activities: one is a labeling activity where students add information about Elena, and the other is an open-ended activity where students write a description of Elena using the given information."
23,0,text_only,"text-23-0,text-23-1,text-23-2,text-23-3,text-23-4,text-23-5,text-23-6,text-23-7",,"The page contains three distinct activities: a dialogue observation, a word family completion, and an object identification task. Each activity is self-contained and involves different tasks, so they are separated into different sections."
23,1,activity_fill_in_a_table,"text-23-8,text-23-9,text-23-10,text-23-11",,"The page contains three distinct activities: a dialogue observation, a word family completion, and an object identification task. Each activity is self-contained and involves different tasks, so they are separated into different sections."
23,2,activity_open_ended_answer,"text-23-12,text-23-13",,"The page contains three distinct activities: a dialogue observation, a word family completion, and an object identification task. Each activity is self-contained and involves different tasks, so they are separated into different sections."
22,0,activity_fill_in_the_blank,"text-22-0,text-22-1,text-22-2,text-22-3,text-22-4,text-22-5,text-22-6,text-22-7,text-22-8,text-22-9,text-22-10,text-22-11,text-22-12,text-22-13,text-22-14,text-22-15,text-22-16",,"The page contains two main activities. The first activity involves writing comparisons for different features of Elena's grandfather, while the second activity involves creating a description using those comparisons. Each activity is distinct and self-contained, so they are separated into different sections."
22,1,activity_open_ended_answer,"text-22-17,text-22-18,text-22-19,text-22-20,text-22-21,text-22-22,text-22-23,text-22-24,text-22-25,text-22-26",,"The page contains two main activities. The first activity involves writing comparisons for different features of Elena's grandfather, while the second activity involves creating a description using those comparisons. Each activity is distinct and self-contained, so they are separated into different sections."
27,0,text_and_images,"text-27-0,text-27-1,text-27-8,text-27-9,text-27-10,text-27-11,text-27-12","img-27-1,img-27-2,img-27-3","The page contains a reading section with definitions and a rewriting activity. The text is divided into two main parts: reading and rewriting. The reading section includes definitions and a passage, while the rewriting section instructs students to rewrite the passage with additional information."
27,1,activity_open_ended_answer,"text-27-13,text-27-14,text-27-15,text-27-16,text-27-17",,"The page contains a reading section with definitions and a rewriting activity. The text is divided into two main parts: reading and rewriting. The reading section includes definitions and a passage, while the rewriting section instructs students to rewrite the passage with additional information."
29,0,activity_other,"text-29-0,text-29-1,text-29-2,text-29-3,text-29-4,text-29-5,text-29-6,text-29-7,text-29-8,text-29-9,text-29-10,text-29-11",img-29-2,"The page contains an activity where students are asked to correct a text with errors. The instructions and the text to be corrected are part of the same activity, which involves identifying and correcting errors in the text. The image is related to the activity as it visually represents the concept of shadow puppets, which is the subject of the text."
21,0,text_only,"text-21-0,text-21-1,text-21-2,text-21-3,text-21-4,text-21-5",,"The page contains a poem, a question about antonyms, and an activity to fill in antonyms. The poem and the question are related, so they are grouped together. The antonym activity is separate and involves filling in blanks with antonyms."
21,1,activity_fill_in_the_blank,"text-21-6,text-21-7,text-21-8,text-21-9,text-21-10,text-21-11,text-21-12,text-21-13,text-21-14,text-21-15,text-21-16,text-21-17,text-21-18",,"The page contains a poem, a question about antonyms, and an activity to fill in antonyms. The poem and the question are related, so they are grouped together. The antonym activity is separate and involves filling in blanks with antonyms."
24,0,activity_fill_in_the_blank,"text-24-0,text-24-1,text-24-2,text-24-3,text-24-4,text-24-5,text-24-6,text-24-7,text-24-8,text-24-9,text-24-10,text-24-11,text-24-12",,"The page contains two distinct activities. The first activity involves filling in the blanks with pronouns, while the second activity involves replacing highlighted pronouns with expressions or words that name the characters. Each activity is self-contained and should be sectioned separately."
24,1,activity_other,"text-24-13,text-24-14,text-24-15,text-24-16",,"The page contains two distinct activities. The first activity involves filling in the blanks with pronouns, while the second activity involves replacing highlighted pronouns with expressions or words that name the characters. Each activity is self-contained and should be sectioned separately."
30,0,activity_open_ended_answer,"text-30-0,text-30-1,text-30-2,text-30-3,text-30-4,text-30-5,text-30-6,text-30-7,text-30-8,text-30-9,text-30-10",,The page contains a reading activity followed by an open-ended writing activity. The reading text is about 'sombras chinescas' and includes instructions to identify repeated words. The writing activity asks students to discuss and rewrite the text with improvements.
30,1,activity_open_ended_answer,"text-30-11,text-30-12,text-30-13",,The page contains a reading activity followed by an open-ended writing activity. The reading text is about 'sombras chinescas' and includes instructions to identify repeated words. The writing activity asks students to discuss and rewrite the text with improvements.
28,0,activity_fill_in_a_table,"text-28-0,text-28-1,text-28-2,text-28-3,text-28-4,text-28-5,text-28-6,text-28-7,text-28-8,text-28-9,text-28-10,text-28-11,text-28-12",,"The page contains two main activities: filling in a table with light sources and completing another table with characteristics and examples. Each activity is distinct and involves different sets of text, so they should be sectioned separately."
