page_index,id,language_code_orig,type,section_id,section_type,language_code,text,status
10,text-10-0,es,instruction_text,0,activity_open_ended_answer,en,Draw and write here what you like to do in your free time.,success
10,text-10-1,es,instruction_text,1,activity_open_ended_answer,en,Draw and write those things that you know how to do very well.,success
12,text-12-0,es,chapter_title,0,text_and_images,en,LIGHTS AND SHADOWS,success
12,text-12-1,es,section_heading,0,text_and_images,en,WHO IS ELENA RUNNING WITH?,success
12,text-12-2,es,section_text,0,text_and_images,en,He is not a child.,success
12,text-12-3,es,section_text,0,text_and_images,en,It is not a pet.,success
12,text-12-4,es,section_text,0,text_and_images,en,He is not an athlete.,success
12,text-12-5,es,section_text,0,text_and_images,en,"Just run, if Elena runs illuminated by a light.",success
12,text-12-6,es,section_text,0,text_and_images,en,Elena runs with,success
17,text-17-0,es,section_heading,0,activity_fill_in_the_blank,en,WHAT DID THEY SAY?,success
17,text-17-1,es,instruction_text,0,activity_fill_in_the_blank,en,Complete the balloons according to the story.,success
17,text-17-2,es,section_text,0,activity_fill_in_the_blank,en,"One day, Elena went to her grandfather's house.",success
17,text-17-3,es,section_text,0,activity_fill_in_the_blank,en,The grandfather gave him an idea.,success
17,text-17-4,es,image_overlay,0,activity_fill_in_the_blank,en,"I'm bored, I have no one to run with.",success
17,text-17-5,es,image_overlay,0,activity_fill_in_the_blank,en,Why don't you run against your shadow?,success
17,text-17-6,es,section_text,0,activity_fill_in_the_blank,en,"But he did not always win, so he grumbled:",success
17,text-17-7,es,section_text,0,activity_fill_in_the_blank,en,The grandfather taught him a secret.,success
17,text-17-8,es,image_overlay,0,activity_fill_in_the_blank,en,Now you are ready to conquer!,success
18,text-18-0,es,instruction_text,0,activity_fill_in_the_blank,en,Complete the summary of the story.,success
18,text-18-1,es,hint,0,activity_fill_in_the_blank,en,"Read the story again, it might help you.",success
18,text-18-2,es,section_text,0,activity_fill_in_the_blank,en,"One day, Elena had to stay overnight at her grandfather Enrique's house.",success
18,text-18-3,es,instruction_text,0,activity_fill_in_the_blank,en,"In the grandfather's house,",success
18,text-18-4,es,instruction_text,0,activity_fill_in_the_blank,en,The grandfather gave him an idea so as not to get bored.,success
19,text-19-0,es,section_heading,0,activity_matching,en,Grandfather Enrique,success
19,text-19-1,es,instruction_text,0,activity_matching,en,Connect with an arrow the expressions from each column to form statements.,success
19,text-19-2,es,instruction_text,1,activity_open_ended_answer,en,Write the sentences you have formed.,success
19,text-19-3,es,instruction_text,1,activity_open_ended_answer,en,Number them considering the order of events in history.,success
19,text-19-4,es,activity_option,0,activity_matching,en,Elena,success
19,text-19-5,es,activity_option,0,activity_matching,en,cooked,success
19,text-19-6,es,activity_option,0,activity_matching,en,the secret to overcoming the shadows.,success
19,text-19-7,es,activity_option,0,activity_matching,en,ran,success
19,text-19-8,es,activity_option,0,activity_matching,en,an immense potato tortilla.,success
19,text-19-9,es,activity_option,0,activity_matching,en,learned,success
19,text-19-10,es,activity_option,0,activity_matching,en,faster than the hares in the field.,success
19,text-19-11,es,activity_option,0,activity_matching,en,Grandfather Enrique,success
19,text-19-12,es,activity_option,0,activity_matching,en,counted/told,success
19,text-19-13,es,activity_option,0,activity_matching,en,to grandfather Enrique.,success
19,text-19-14,es,activity_option,0,activity_matching,en,visited,success
19,text-19-15,es,activity_option,0,activity_matching,en,eighty-seven victories.,success
19,text-19-16,es,instruction_text,2,other,en,Write in italics.,success
19,text-19-17,es,boxed_text,2,other,en,It can be useful to you.,success
19,text-19-18,es,section_text,1,activity_open_ended_answer,en,Grandfather Enrique counted eighty-seven victories.,success
18,text-18-5,es,section_text,0,activity_fill_in_the_blank,en,Elena ran against the shadow,success
