page_index,id,language_code,text,type
10,text-10-0,es,Me gustaría conocer a tus mejores amigos.,boxed_text
10,text-10-1,es,Dibuja a uno de tus amigos o amigas o pega su foto en el recuadro central.,instruction_text
10,text-10-2,es,Completa los demás recuadros agregando información.,instruction_text
10,text-10-3,es,Se llama,activity_input_placeholder_text
10,text-10-4,es,Sus amigos lo/la llaman,activity_input_placeholder_text
10,text-10-5,es,Juega siempre con,activity_input_placeholder_text
10,text-10-6,es,es lo que más le gusta.,activity_input_placeholder_text
10,text-10-7,es,Le desagrada,activity_input_placeholder_text
10,text-10-8,es,si está triste.,activity_input_placeholder_text
10,text-10-9,es,cuando está feliz.,activity_input_placeholder_text
10,text-10-10,es,Tiene el cabello,activity_input_placeholder_text
10,text-10-11,es,y los ojos,activity_input_placeholder_text
10,text-10-12,es,Escribe el retrato de tu amigo o amiga usando la información del esquema y otra información que quieras incluir.,instruction_text
18,text-18-0,es,¿Cuáles son las relaciones?,section_heading
18,text-18-1,es,Señala la imagen más adecuada para ilustrar la información del recuadro «Biomas del mundo».,instruction_text
18,text-18-2,es,A,image_label
18,text-18-3,es,Condensación,image_overlay
18,text-18-4,es,Lluvia,image_overlay
18,text-18-5,es,Vientos cálidos y húmedos,image_overlay
18,text-18-6,es,Bosques húmedos,image_overlay
18,text-18-7,es,Sin lluvias,image_overlay
18,text-18-8,es,Aire seco y cálido,image_overlay
18,text-18-9,es,Vegetación de zonas áridas,image_overlay
18,text-18-10,es,B,image_label
18,text-18-11,es,Cima,image_overlay
18,text-18-12,es,Ladera,image_overlay
18,text-18-13,es,Pie,image_overlay
18,text-18-14,es,Valle,image_overlay
18,text-18-15,es,Agrega estos datos en la imagen y lugar correctos:,instruction_text
18,text-18-16,es,Ladera húmeda,image_label
18,text-18-17,es,Ladera árida,image_label
18,text-18-18,es,Justifica tu elección.,instruction_text
18,text-18-19,es,Completa una de las dos explicaciones.,instruction_text
12,text-12-0,es,A ciencia cierta,chapter_title
12,text-12-1,es,La explicación,section_heading
12,text-12-2,es,SELVA TROPICAL,image_label
12,text-12-3,es,PRADERA,image_label
12,text-12-4,es,BOSQUE TEMPLADO,image_label
12,text-12-5,es,DESIERTO,image_label
12,text-12-6,es,ESTEPA,image_label
12,text-12-7,es,TUNDRA,image_label
12,text-12-8,es,TAIGA,image_label
12,text-12-9,es,¿En qué se diferencia la selva tropical del desierto? ¿Y la tundra de la pradera?,instruction_text
12,text-12-10,es,¿Y cuál es la diferencia entre un bosque templado y un bosque tropical?,instruction_text
12,text-12-11,es,¿Qué semejanzas tienen la pradera y la sabana?,instruction_text
12,text-12-12,es,¿Por qué algunos seres vivos habitan en una región y no en otra?,instruction_text
20,text-20-0,es,Del texto al cuadro,chapter_title
20,text-20-1,es,Relee el apartado «Tipos de biomas».,instruction_text
20,text-20-2,es,Completa el cuadro con la caracterización de los distintos biomas.,instruction_text
20,text-20-3,es,Puedes subrayar en el texto los datos que luego trasladarás al cuadro.,hint
20,text-20-4,es,TIPO DE BIOMA,boxed_text
20,text-20-5,es,CLIMA,boxed_text
20,text-20-6,es,VEGETACIÓN,boxed_text
20,text-20-7,es,FAUNA,boxed_text
20,text-20-8,es,ACTIVIDADES ECONÓMICAS,boxed_text
20,text-20-9,es,Selvas,boxed_text
20,text-20-10,es,Bosques,boxed_text
20,text-20-11,es,climas templados,boxed_text
20,text-20-12,es,Praderas,boxed_text
20,text-20-13,es,climas fríos,boxed_text
20,text-20-14,es,Completa el esquema de la derecha que resume los factores que caracterizan a los biomas.,instruction_text
20,text-20-15,es,Emplea todos los conceptos de la lista.,instruction_text
13,text-13-0,es,LOS BIOMAS,chapter_title
13,text-13-1,es,"La vida en nuestro planeta depende de la energía del sol, de la disponibilidad de agua y de la existencia de nutrientes en los suelos, entre otros factores.",section_text
13,text-13-2,es,Pero no todas las regiones del mundo poseen las mismas condiciones.,section_text
