page_index,image_id,target_language_code,status,error
10,img-10-1,en,enqueued,
10,img-10-1,es,enqueued,
25,img-25-2,en,enqueued,
25,img-25-2,es,enqueued,
15,img-15-1,en,enqueued,
15,img-15-1,es,enqueued,
15,img-15-2,en,enqueued,
15,img-15-2,es,enqueued,
19,img-19-1,en,enqueued,
19,img-19-1,es,enqueued,
19,img-19-2,en,enqueued,
19,img-19-2,es,enqueued,
19,img-19-3,en,enqueued,
19,img-19-3,es,enqueued,
18,img-18-1,en,enqueued,
18,img-18-1,es,enqueued,
18,img-18-2,en,enqueued,
18,img-18-2,es,enqueued,
16,img-16-4,en,enqueued,
16,img-16-4,es,enqueued,
16,img-16-6,en,enqueued,
16,img-16-6,es,enqueued,
14,img-14-1,en,enqueued,
14,img-14-1,es,enqueued,
14,img-14-2,en,enqueued,
14,img-14-2,es,enqueued,
27,img-27-1,en,enqueued,
27,img-27-1,es,enqueued,
24,img-24-1,en,enqueued,
24,img-24-1,es,enqueued,
24,img-24-5,en,enqueued,
24,img-24-5,es,enqueued,
23,img-23-1,en,enqueued,
23,img-23-1,es,enqueued,
23,img-23-3,en,enqueued,
23,img-23-3,es,enqueued,
26,img-26-1,en,enqueued,
26,img-26-1,es,enqueued,
26,img-26-2,en,enqueued,
26,img-26-2,es,enqueued,
26,img-26-3,en,enqueued,
26,img-26-3,es,enqueued,
26,img-26-4,en,enqueued,
26,img-26-4,es,enqueued,
21,img-21-1,en,enqueued,
21,img-21-1,es,enqueued,
21,img-21-3,en,enqueued,
21,img-21-3,es,enqueued,
21,img-21-5,en,enqueued,
21,img-21-5,es,enqueued,
21,img-21-7,en,enqueued,
21,img-21-7,es,enqueued,
13,img-13-1,en,enqueued,
13,img-13-1,es,enqueued,
13,img-13-2,en,enqueued,
13,img-13-2,es,enqueued,
13,img-13-3,en,enqueued,
13,img-13-3,es,enqueued,
13,img-13-4,en,enqueued,
13,img-13-4,es,enqueued,
13,img-13-5,en,enqueued,
13,img-13-5,es,enqueued,
13,img-13-6,en,enqueued,
13,img-13-6,es,enqueued,
30,img-30-3,en,enqueued,
30,img-30-3,es,enqueued,
30,img-30-4,en,enqueued,
30,img-30-4,es,enqueued,
30,img-30-5,en,enqueued,
30,img-30-5,es,enqueued,
30,img-30-6,en,enqueued,
30,img-30-6,es,enqueued,
30,img-30-7,en,enqueued,
30,img-30-7,es,enqueued,
30,img-30-8,en,enqueued,
30,img-30-8,es,enqueued,
30,img-30-9,en,enqueued,
30,img-30-9,es,enqueued,
10,img-10-1,es,success,
10,img-10-1,en,success,
29,img-29-1,en,enqueued,
29,img-29-1,es,enqueued,
29,img-29-2,en,enqueued,
29,img-29-2,es,enqueued,
29,img-29-3,en,enqueued,
29,img-29-3,es,enqueued,
29,img-29-4,en,enqueued,
29,img-29-4,es,enqueued,
29,img-29-5,en,enqueued,
29,img-29-5,es,enqueued,
28,img-28-7,en,enqueued,
29,img-29-6,en,enqueued,
28,img-28-7,es,enqueued,
29,img-29-6,es,enqueued,
28,img-28-8,en,enqueued,
29,img-29-7,en,enqueued,
28,img-28-8,es,enqueued,
29,img-29-7,es,enqueued,
28,img-28-9,en,enqueued,
29,img-29-8,en,enqueued,
28,img-28-9,es,enqueued,
29,img-29-8,es,enqueued,
28,img-28-10,en,enqueued,
29,img-29-9,en,enqueued,
28,img-28-10,es,enqueued,
29,img-29-9,es,enqueued,
28,img-28-11,en,enqueued,
29,img-29-10,en,enqueued,
28,img-28-11,es,enqueued,
29,img-29-10,es,enqueued,
25,img-25-2,en,success,
28,img-28-12,en,enqueued,
28,img-28-12,es,enqueued,
29,img-29-13,en,enqueued,
29,img-29-13,es,enqueued,
15,img-15-2,en,success,
19,img-19-1,es,success,
19,img-19-3,es,success,
19,img-19-2,en,success,
17,img-17-1,en,enqueued,
17,img-17-1,es,enqueued,
17,img-17-2,en,enqueued,
17,img-17-2,es,enqueued,
17,img-17-3,en,enqueued,
17,img-17-3,es,enqueued,
17,img-17-4,en,enqueued,
17,img-17-4,es,enqueued,
17,img-17-5,en,enqueued,
17,img-17-5,es,enqueued,
17,img-17-6,en,enqueued,
17,img-17-6,es,enqueued,
17,img-17-7,en,enqueued,
17,img-17-7,es,enqueued,
17,img-17-8,en,enqueued,
17,img-17-8,es,enqueued,
17,img-17-9,en,enqueued,
17,img-17-9,es,enqueued,
17,img-17-10,en,enqueued,
17,img-17-10,es,enqueued,
17,img-17-11,en,enqueued,
17,img-17-11,es,enqueued,
17,img-17-12,en,enqueued,
17,img-17-12,es,enqueued,
17,img-17-17,en,enqueued,
17,img-17-17,es,enqueued,
17,img-17-18,en,enqueued,
17,img-17-18,es,enqueued,
15,img-15-2,es,success,
16,img-16-6,es,success,
25,img-25-2,es,success,
19,img-19-1,en,success,
24,img-24-1,en,success,
18,img-18-2,en,success,
24,img-24-5,en,success,
19,img-19-2,es,success,
18,img-18-1,es,success,
27,img-27-1,en,success,
14,img-14-2,es,success,
24,img-24-1,es,success,
15,img-15-1,es,success,
18,img-18-1,en,success,
16,img-16-4,en,success,
19,img-19-3,en,success,
16,img-16-4,es,success,
15,img-15-1,en,success,
14,img-14-2,en,success,
21,img-21-7,es,success,
16,img-16-6,en,success,
24,img-24-5,es,success,
