page_index,id,language_code_orig,type,section_id,section_type,language_code,text,status
10,text-10-0,es,boxed_text,0,activity_other,en,I would like to meet your best friends.,success
10,text-10-1,es,instruction_text,0,activity_other,en,Draw one of your friends or paste their photo in the central box.,success
10,text-10-2,es,instruction_text,0,activity_other,en,Complete the other boxes by adding information.,success
10,text-10-3,es,activity_input_placeholder_text,0,activity_other,en,It's called,success
10,text-10-4,es,activity_input_placeholder_text,0,activity_other,en,His/her friends call him/her,success
10,text-10-5,es,activity_input_placeholder_text,0,activity_other,en,Always play with,success
10,text-10-6,es,activity_input_placeholder_text,0,activity_other,en,it's what he/she likes the most.,success
10,text-10-7,es,activity_input_placeholder_text,0,activity_other,en,He/She dislikes it,success
10,text-10-8,es,activity_input_placeholder_text,0,activity_other,en,if he/she is sad.,success
10,text-10-9,es,activity_input_placeholder_text,0,activity_other,en,when he/she is happy.,success
10,text-10-10,es,activity_input_placeholder_text,0,activity_other,en,Has the hair,success
10,text-10-11,es,activity_input_placeholder_text,0,activity_other,en,and the eyes,success
10,text-10-12,es,instruction_text,1,activity_open_ended_answer,en,Write a portrait of your friend using the information from the schema and any other information you want to include.,success
18,text-18-0,es,section_heading,0,activity_multiselect,en,What are the relationships?,success
18,text-18-1,es,instruction_text,0,activity_multiselect,en,Point out the most suitable image to illustrate the information in the box 'Biomes of the World'.,success
18,text-18-2,es,image_label,0,activity_multiselect,en,A,success
18,text-18-3,es,image_overlay,0,activity_multiselect,en,Condensation,success
18,text-18-4,es,image_overlay,0,activity_multiselect,en,Rain,success
18,text-18-5,es,image_overlay,0,activity_multiselect,en,Warm and humid winds,success
18,text-18-6,es,image_overlay,0,activity_multiselect,en,Rainforests,success
18,text-18-7,es,image_overlay,0,activity_multiselect,en,Without rain,success
18,text-18-8,es,image_overlay,0,activity_multiselect,en,Dry and warm air.,success
18,text-18-9,es,image_overlay,0,activity_multiselect,en,Vegetation of arid zones,success
18,text-18-10,es,image_label,0,activity_multiselect,en,B,success
18,text-18-11,es,image_overlay,0,activity_multiselect,en,Summit,success
18,text-18-12,es,image_overlay,0,activity_multiselect,en,Slope,success
18,text-18-13,es,image_overlay,0,activity_multiselect,en,Foot,success
18,text-18-14,es,image_overlay,0,activity_multiselect,en,Valley,success
18,text-18-15,es,instruction_text,1,activity_labeling,en,Add this data in the correct image and place.,success
18,text-18-16,es,image_label,1,activity_labeling,en,Wet slope,success
