page_index,section_id,status,error
10,0,enqueued,
10,1,enqueued,
12,0,enqueued,
12,1,enqueued,
12,2,enqueued,
10,0,error,"Traceback (most recent call last):
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/adt_generation.py"", line 184, in callback_adt_generation
    adt_web_asset = adt_future.result()
                    ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/concurrent/futures/_base.py"", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/concurrent/futures/_base.py"", line 401, in __get_result
    raise self._exception
  File ""/usr/local/lib/python3.11/concurrent/futures/thread.py"", line 58, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/async_tasks/adt_generation/task_adt_generation.py"", line 118, in generate_adt
    img_b64 = image_helpers.get_b64_from_path(image_path)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/image_utils/image_helpers.py"", line 77, in get_b64_from_path
    with open(path, ""rb"") as f:
         ^^^^^^^^^^^^^^^^
FileNotFoundError: [Errno 2] No such file or directory: 'extraction_outputs/images_cropped/10_img-10-1.png'
"
12,0,error,"Traceback (most recent call last):
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/adt_generation.py"", line 184, in callback_adt_generation
    adt_web_asset = adt_future.result()
                    ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/concurrent/futures/_base.py"", line 449, in result
    return self.__get_result()
           ^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/concurrent/futures/_base.py"", line 401, in __get_result
    raise self._exception
  File ""/usr/local/lib/python3.11/concurrent/futures/thread.py"", line 58, in run
    result = self.fn(*self.args, **self.kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/async_tasks/adt_generation/task_adt_generation.py"", line 118, in generate_adt
    img_b64 = image_helpers.get_b64_from_path(image_path)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/accesssible_digital_textbooks/accessible_digital_textbooks/image_utils/image_helpers.py"", line 77, in get_b64_from_path
    with open(path, ""rb"") as f:
         ^^^^^^^^^^^^^^^^
FileNotFoundError: [Errno 2] No such file or directory: 'extraction_outputs/images_cropped/12_img-12-1.png'
"
12,3,enqueued,
12,4,enqueued,
13,0,enqueued,
