page_index,id,language_code,text,type
11,text-11-0,es,10,page_number
10,text-10-13,es,9,page_number
18,text-18-20,es,Elegí la imagen,other
18,text-18-21,es,porque,other
18,text-18-22,es,Descarté la imagen,other
18,text-18-23,es,porque,other
18,text-18-24,es,17,page_number
12,text-12-13,es,"Algunas respuestas a estas preguntas las encontrarás en las páginas 12, 13 y 14.",footer_text
12,text-12-14,es,11,page_number
20,text-20-16,es,montaña,other
20,text-20-17,es,árboles,other
20,text-20-18,es,lluvia,other
20,text-20-19,es,tipo de relieve,other
20,text-20-20,es,temperatura,other
20,text-20-21,es,rocoso,other
20,text-20-22,es,arbustos,other
20,text-20-23,es,vegetación,other
20,text-20-24,es,sierra,other
20,text-20-25,es,clima,other
20,text-20-26,es,arcilloso,other
20,text-20-27,es,llanura,other
20,text-20-28,es,hierbas,other
20,text-20-29,es,arenoso,other
20,text-20-30,es,nivel de humedad,other
13,text-13-23,es,12,page_number
20,text-20-34,es,19,page_number
15,text-15-22,es,"Graciela Zaritzky, Ciencias Sociales I, Dirección General de Cultura y Educación, Buenos Aires (fragmento adaptado).",footer_text
15,text-15-25,es,14,page_number
17,text-17-25,es,16,page_number
22,text-22-4,es,relieve,other
22,text-22-51,es,21,page_number
21,text-21-11,es,Praderas,other
25,text-25-38,es,24,page_number
21,text-21-18,es,20,page_number
23,text-23-28,es,22,page_number
14,text-14-16,es,13,page_number
30,text-30-30,es,29,page_number
19,text-19-22,es,18,page_number
29,text-29-47,es,28,page_number
16,text-16-21,es,Los textos explicativos suelen comenzar por un enunciado que resume su contenido. Ese enunciado es la oración temática.,footer_text
16,text-16-22,es,15,page_number
27,text-27-25,es,26,page_number
24,text-24-29,es,Biomas de América: sabana y desierto,footer_text
24,text-24-30,es,23,page_number
26,text-26-18,es,Textos creados especialmente para este cuaderno por el equipo de ProLEE.,footer_text
26,text-26-19,es,25,page_number
28,text-28-2,es,YO,other
28,text-28-3,es,VOS / TÚ,other
28,text-28-4,es,ÉL,other
28,text-28-5,es,NOSOTROS,other
28,text-28-6,es,USTEDES,other
28,text-28-7,es,ELLOS,other
28,text-28-30,es,respirar,other
28,text-28-31,es,sumar,other
28,text-28-32,es,secuestrar,other
28,text-28-33,es,absorber,other
28,text-28-37,es,Singular (si es una),other
28,text-28-38,es,Plural (si son más de una),other
28,text-28-39,es,1.ª persona,other
28,text-28-40,es,YO,other
28,text-28-41,es,NOSOTROS / NOSOTRAS,other
28,text-28-42,es,2.ª persona,other
28,text-28-43,es,TÚ / VOS / USTED,other
28,text-28-44,es,USTEDES / VOSOTROS / VOSOTRAS,other
28,text-28-45,es,3.ª persona,other
28,text-28-46,es,ÉL / ELLA,other
28,text-28-47,es,ELLOS / ELLAS,other
28,text-28-48,es,27,page_number
