page_index,text_id,base_language_code,target_language_code,status,error
11,text-11-0,es,en,enqueued,
11,text-11-0,es,en,success,
10,text-10-0,es,en,enqueued,
10,text-10-1,es,en,enqueued,
10,text-10-2,es,en,enqueued,
10,text-10-3,es,en,enqueued,
10,text-10-4,es,en,enqueued,
10,text-10-5,es,en,enqueued,
10,text-10-6,es,en,enqueued,
10,text-10-7,es,en,enqueued,
10,text-10-8,es,en,enqueued,
10,text-10-9,es,en,enqueued,
10,text-10-10,es,en,enqueued,
10,text-10-11,es,en,enqueued,
10,text-10-12,es,en,enqueued,
10,text-10-13,es,en,enqueued,
18,text-18-0,es,en,enqueued,
18,text-18-1,es,en,enqueued,
18,text-18-2,es,en,enqueued,
18,text-18-3,es,en,enqueued,
18,text-18-4,es,en,enqueued,
18,text-18-5,es,en,enqueued,
18,text-18-6,es,en,enqueued,
18,text-18-7,es,en,enqueued,
18,text-18-8,es,en,enqueued,
18,text-18-9,es,en,enqueued,
18,text-18-10,es,en,enqueued,
18,text-18-11,es,en,enqueued,
18,text-18-12,es,en,enqueued,
18,text-18-13,es,en,enqueued,
18,text-18-14,es,en,enqueued,
18,text-18-15,es,en,enqueued,
18,text-18-16,es,en,enqueued,
18,text-18-17,es,en,enqueued,
18,text-18-18,es,en,enqueued,
18,text-18-19,es,en,enqueued,
10,text-10-3,es,en,success,
18,text-18-20,es,en,enqueued,
18,text-18-21,es,en,enqueued,
18,text-18-22,es,en,enqueued,
18,text-18-23,es,en,enqueued,
18,text-18-24,es,en,enqueued,
10,text-10-7,es,en,success,
10,text-10-1,es,en,success,
10,text-10-2,es,en,success,
10,text-10-5,es,en,success,
10,text-10-4,es,en,success,
10,text-10-6,es,en,success,
12,text-12-0,es,en,enqueued,
12,text-12-1,es,en,enqueued,
12,text-12-2,es,en,enqueued,
12,text-12-3,es,en,enqueued,
12,text-12-4,es,en,enqueued,
12,text-12-5,es,en,enqueued,
12,text-12-6,es,en,enqueued,
12,text-12-7,es,en,enqueued,
12,text-12-8,es,en,enqueued,
12,text-12-9,es,en,enqueued,
12,text-12-10,es,en,enqueued,
12,text-12-11,es,en,enqueued,
12,text-12-12,es,en,enqueued,
12,text-12-13,es,en,enqueued,
12,text-12-14,es,en,enqueued,
13,text-13-0,es,en,enqueued,
20,text-20-0,es,en,enqueued,
13,text-13-1,es,en,enqueued,
20,text-20-1,es,en,enqueued,
13,text-13-2,es,en,enqueued,
20,text-20-2,es,en,enqueued,
13,text-13-3,es,en,enqueued,
20,text-20-3,es,en,enqueued,
10,text-10-0,es,en,success,
10,text-10-8,es,en,success,
13,text-13-4,es,en,enqueued,
15,text-15-0,es,en,enqueued,
20,text-20-4,es,en,enqueued,
13,text-13-5,es,en,enqueued,
15,text-15-1,es,en,enqueued,
20,text-20-5,es,en,enqueued,
