page_index,section_id,section_type,text_ids,image_ids,reasoning
21,0,text_and_images,"text-21-1,text-21-2,text-21-3",img-21-1,"The page contains descriptions of two characters and an activity for self-description. The text and images related to each character are grouped together, while the self-description activity is a separate section. The unit and hashtag are categorized as 'other' since they don't fit into the main content sections."
21,1,text_and_images,"text-21-4,text-21-5,text-21-6",img-21-2,"The page contains descriptions of two characters and an activity for self-description. The text and images related to each character are grouped together, while the self-description activity is a separate section. The unit and hashtag are categorized as 'other' since they don't fit into the main content sections."
21,2,activity_open_ended_answer,"text-21-7,text-21-8,text-21-9",,"The page contains descriptions of two characters and an activity for self-description. The text and images related to each character are grouped together, while the self-description activity is a separate section. The unit and hashtag are categorized as 'other' since they don't fit into the main content sections."
21,3,other,"text-21-0,text-21-10,text-21-11",,"The page contains descriptions of two characters and an activity for self-description. The text and images related to each character are grouped together, while the self-description activity is a separate section. The unit and hashtag are categorized as 'other' since they don't fit into the main content sections."
18,0,text_and_images,"text-18-0,text-18-1,text-18-2,text-18-3,text-18-4",img-18-1,"The page contains two main sections: one with classroom language phrases and another with an activity prompt. The images are divided into two groups, each illustrating different classroom phrases. The text at the bottom provides instructions for an activity using these phrases."
18,1,text_and_images,"text-18-5,text-18-6,text-18-7,text-18-8,text-18-9",img-18-3,"The page contains two main sections: one with classroom language phrases and another with an activity prompt. The images are divided into two groups, each illustrating different classroom phrases. The text at the bottom provides instructions for an activity using these phrases."
18,2,activity_other,"text-18-10,text-18-11",,"The page contains two main sections: one with classroom language phrases and another with an activity prompt. The images are divided into two groups, each illustrating different classroom phrases. The text at the bottom provides instructions for an activity using these phrases."
18,3,other,"text-18-12,text-18-13,text-18-14",,"The page contains two main sections: one with classroom language phrases and another with an activity prompt. The images are divided into two groups, each illustrating different classroom phrases. The text at the bottom provides instructions for an activity using these phrases."
16,0,activity_fill_in_a_table,"text-16-0,text-16-1,text-16-2,text-16-3,text-16-4,text-16-5,text-16-6,text-16-7,text-16-8,text-16-9,text-16-10,text-16-11,text-16-12",img-16-1,"The page is structured around a guessing game activity. The text guides the activity, and the image supports the context. The activity involves describing objects and writing them down, which fits the 'activity_fill_in_a_table' type."
16,1,other,"text-16-13,text-16-14,text-16-15,text-16-17",,"The page is structured around a guessing game activity. The text guides the activity, and the image supports the context. The activity involves describing objects and writing them down, which fits the 'activity_fill_in_a_table' type."
10,0,activity_other,text-10-1,,"The page contains two main activities: a drawing task and a matching activity. The drawing task is straightforward and involves creating illustrations based on previous content. The matching activity involves pairing questions with their corresponding answers, which is a typical matching exercise. The text at the bottom encourages role-playing, which is a separate activity."
10,1,activity_matching,"text-10-2,text-10-3,text-10-4,text-10-5,text-10-6,text-10-7,text-10-8,text-10-9,text-10-10,text-10-11,text-10-12,text-10-13,text-10-14,text-10-15,text-10-16,text-10-17,text-10-18,text-10-19,text-10-20,text-10-21,text-10-22,text-10-23,text-10-24",,"The page contains two main activities: a drawing task and a matching activity. The drawing task is straightforward and involves creating illustrations based on previous content. The matching activity involves pairing questions with their corresponding answers, which is a typical matching exercise. The text at the bottom encourages role-playing, which is a separate activity."
10,2,activity_open_ended_answer,"text-10-25,text-10-26",,"The page contains two main activities: a drawing task and a matching activity. The drawing task is straightforward and involves creating illustrations based on previous content. The matching activity involves pairing questions with their corresponding answers, which is a typical matching exercise. The text at the bottom encourages role-playing, which is a separate activity."
10,3,other,"text-10-0,text-10-27,text-10-28",,"The page contains two main activities: a drawing task and a matching activity. The drawing task is straightforward and involves creating illustrations based on previous content. The matching activity involves pairing questions with their corresponding answers, which is a typical matching exercise. The text at the bottom encourages role-playing, which is a separate activity."
25,0,activity_open_ended_answer,"text-25-1,text-25-2",,"The page contains two main activities: an open-ended writing task and a matching activity. The writing task involves describing a house, while the matching activity involves pairing room descriptions with their names. Additionally, there's a prompt to create a bubble map, which is a separate activity."
25,1,activity_matching,"text-25-3,text-25-4,text-25-5,text-25-6,text-25-7,text-25-8,text-25-9,text-25-10,text-25-11,text-25-12,text-25-13,text-25-14,text-25-15,text-25-16",,"The page contains two main activities: an open-ended writing task and a matching activity. The writing task involves describing a house, while the matching activity involves pairing room descriptions with their names. Additionally, there's a prompt to create a bubble map, which is a separate activity."
25,2,activity_other,"text-25-17,text-25-18,text-25-19",,"The page contains two main activities: an open-ended writing task and a matching activity. The writing task involves describing a house, while the matching activity involves pairing room descriptions with their names. Additionally, there's a prompt to create a bubble map, which is a separate activity."
25,3,other,text-25-0,,"The page contains two main activities: an open-ended writing task and a matching activity. The writing task involves describing a house, while the matching activity involves pairing room descriptions with their names. Additionally, there's a prompt to create a bubble map, which is a separate activity."
26,0,activity_open_ended_answer,"text-26-1,text-26-2",,The page contains two main activities: drawing and describing the house using specific vocabulary. The text is divided into sections based on these activities and the additional information provided.
26,1,activity_open_ended_answer,"text-26-3,text-26-4",,The page contains two main activities: drawing and describing the house using specific vocabulary. The text is divided into sections based on these activities and the additional information provided.
26,2,other,"text-26-5,text-26-6",,The page contains two main activities: drawing and describing the house using specific vocabulary. The text is divided into sections based on these activities and the additional information provided.
26,3,other,"text-26-20,text-26-21",,The page contains two main activities: drawing and describing the house using specific vocabulary. The text is divided into sections based on these activities and the additional information provided.
