page_index,text_id,base_language_code,target_language_code,status,error
21,text-21-0,en,es,enqueued,
21,text-21-1,en,es,enqueued,
21,text-21-2,en,es,enqueued,
21,text-21-3,en,es,enqueued,
21,text-21-4,en,es,enqueued,
21,text-21-5,en,es,enqueued,
21,text-21-6,en,es,enqueued,
21,text-21-7,en,es,enqueued,
15,text-15-0,en,es,enqueued,
21,text-21-8,en,es,enqueued,
15,text-15-1,en,es,enqueued,
21,text-21-9,en,es,enqueued,
15,text-15-2,en,es,enqueued,
21,text-21-10,en,es,enqueued,
15,text-15-3,en,es,enqueued,
21,text-21-11,en,es,enqueued,
15,text-15-4,en,es,enqueued,
21,text-21-12,en,es,enqueued,
15,text-15-5,en,es,enqueued,
15,text-15-6,en,es,enqueued,
15,text-15-7,en,es,enqueued,
15,text-15-8,en,es,enqueued,
15,text-15-9,en,es,enqueued,
15,text-15-10,en,es,enqueued,
15,text-15-11,en,es,enqueued,
15,text-15-12,en,es,enqueued,
15,text-15-13,en,es,enqueued,
15,text-15-14,en,es,enqueued,
15,text-15-15,en,es,enqueued,
15,text-15-16,en,es,enqueued,
15,text-15-17,en,es,enqueued,
15,text-15-18,en,es,enqueued,
15,text-15-19,en,es,enqueued,
15,text-15-20,en,es,enqueued,
15,text-15-21,en,es,enqueued,
22,text-22-0,en,es,enqueued,
22,text-22-1,en,es,enqueued,
22,text-22-2,en,es,enqueued,
22,text-22-3,en,es,enqueued,
22,text-22-4,en,es,enqueued,
22,text-22-5,en,es,enqueued,
22,text-22-6,en,es,enqueued,
22,text-22-7,en,es,enqueued,
22,text-22-8,en,es,enqueued,
22,text-22-9,en,es,enqueued,
22,text-22-10,en,es,enqueued,
22,text-22-11,en,es,enqueued,
22,text-22-12,en,es,enqueued,
22,text-22-13,en,es,enqueued,
22,text-22-14,en,es,enqueued,
14,text-14-0,en,es,enqueued,
14,text-14-1,en,es,enqueued,
14,text-14-2,en,es,enqueued,
14,text-14-3,en,es,enqueued,
14,text-14-4,en,es,enqueued,
14,text-14-5,en,es,enqueued,
14,text-14-6,en,es,enqueued,
14,text-14-7,en,es,enqueued,
14,text-14-8,en,es,enqueued,
14,text-14-9,en,es,enqueued,
14,text-14-10,en,es,enqueued,
14,text-14-11,en,es,enqueued,
14,text-14-12,en,es,enqueued,
14,text-14-13,en,es,enqueued,
14,text-14-14,en,es,enqueued,
14,text-14-15,en,es,enqueued,
14,text-14-16,en,es,enqueued,
17,text-17-0,en,es,enqueued,
14,text-14-17,en,es,enqueued,
17,text-17-1,en,es,enqueued,
14,text-14-18,en,es,enqueued,
17,text-17-2,en,es,enqueued,
16,text-16-0,en,es,enqueued,
14,text-14-19,en,es,enqueued,
17,text-17-3,en,es,enqueued,
16,text-16-1,en,es,enqueued,
14,text-14-20,en,es,enqueued,
17,text-17-4,en,es,enqueued,
16,text-16-2,en,es,enqueued,
14,text-14-21,en,es,enqueued,
17,text-17-5,en,es,enqueued,
16,text-16-3,en,es,enqueued,
14,text-14-22,en,es,enqueued,
21,text-21-0,en,es,success,
17,text-17-6,en,es,enqueued,
16,text-16-4,en,es,enqueued,
14,text-14-23,en,es,enqueued,
17,text-17-7,en,es,enqueued,
16,text-16-5,en,es,enqueued,
14,text-14-24,en,es,enqueued,
17,text-17-8,en,es,enqueued,
16,text-16-6,en,es,enqueued,
14,text-14-25,en,es,enqueued,
12,text-12-0,en,es,enqueued,
17,text-17-9,en,es,enqueued,
16,text-16-7,en,es,enqueued,
14,text-14-26,en,es,enqueued,
21,text-21-1,en,es,success,
12,text-12-1,en,es,enqueued,
17,text-17-10,en,es,enqueued,
16,text-16-8,en,es,enqueued,
14,text-14-27,en,es,enqueued,
12,text-12-2,en,es,enqueued,
17,text-17-11,en,es,enqueued,
16,text-16-9,en,es,enqueued,
14,text-14-28,en,es,enqueued,
12,text-12-3,en,es,enqueued,
17,text-17-12,en,es,enqueued,
16,text-16-10,en,es,enqueued,
12,text-12-4,en,es,enqueued,
17,text-17-13,en,es,enqueued,
16,text-16-11,en,es,enqueued,
12,text-12-5,en,es,enqueued,
17,text-17-14,en,es,enqueued,
16,text-16-12,en,es,enqueued,
12,text-12-6,en,es,enqueued,
17,text-17-15,en,es,enqueued,
16,text-16-13,en,es,enqueued,
12,text-12-7,en,es,enqueued,
21,text-21-3,en,es,success,
17,text-17-16,en,es,enqueued,
16,text-16-14,en,es,enqueued,
21,text-21-4,en,es,success,
12,text-12-8,en,es,enqueued,
25,text-25-0,en,es,enqueued,
17,text-17-17,en,es,enqueued,
16,text-16-15,en,es,enqueued,
12,text-12-9,en,es,enqueued,
25,text-25-1,en,es,enqueued,
17,text-17-18,en,es,enqueued,
16,text-16-16,en,es,enqueued,
12,text-12-10,en,es,enqueued,
18,text-18-0,en,es,enqueued,
25,text-25-2,en,es,enqueued,
17,text-17-19,en,es,enqueued,
16,text-16-17,en,es,enqueued,
12,text-12-11,en,es,enqueued,
18,text-18-1,en,es,enqueued,
25,text-25-3,en,es,enqueued,
17,text-17-20,en,es,enqueued,
12,text-12-12,en,es,enqueued,
18,text-18-2,en,es,enqueued,
13,text-13-0,en,es,enqueued,
25,text-25-4,en,es,enqueued,
17,text-17-21,en,es,enqueued,
12,text-12-13,en,es,enqueued,
18,text-18-3,en,es,enqueued,
13,text-13-1,en,es,enqueued,
25,text-25-5,en,es,enqueued,
17,text-17-22,en,es,enqueued,
19,text-19-0,en,es,enqueued,
12,text-12-14,en,es,enqueued,
18,text-18-4,en,es,enqueued,
13,text-13-2,en,es,enqueued,
25,text-25-6,en,es,enqueued,
