page_index,id,language_code,text,type
21,text-21-0,en,#livingUruguay1,book_title
21,text-21-1,en,This is Caroline.,image_caption
21,text-21-2,en,"She has big blue eyes, a small nose and a big mouth.",image_caption
21,text-21-3,en,"Her hair is blonde, long and straight.",image_caption
21,text-21-4,en,This is Michael.,image_caption
21,text-21-5,en,"He has small green eyes, a big nose and a small mouth.",image_caption
21,text-21-6,en,"His hair is brown, short and curly.",image_caption
21,text-21-7,en,Me in the mirror:,section_heading
21,text-21-8,en,"Look at the mirror, draw your face or paste a picture of you there.",instruction_text
21,text-21-9,en,Describe yourself in the mirror.,instruction_text
21,text-21-10,en,UNIT 1,chapter_title
21,text-21-11,en,Hello and welcome,chapter_title
15,text-15-0,en,#livingUruguay1,book_title
15,text-15-1,en,Great! Now write a report about your classmate.,instruction_text
15,text-15-2,en,Use the model below to help you.,instruction_text
15,text-15-3,en,Hello! My name is,activity_input_placeholder_text
15,text-15-4,en,I will introduce my friend to you.,section_text
15,text-15-5,en,This is my partner.,section_text
15,text-15-6,en,His/Her name is,activity_input_placeholder_text
15,text-15-7,en,You can call him/her,activity_input_placeholder_text
15,text-15-8,en,His/Her birthday is on,activity_input_placeholder_text
15,text-15-9,en,His/Her favorite color is,activity_input_placeholder_text
15,text-15-10,en,and his/her favorite number is,activity_input_placeholder_text
15,text-15-11,en,Introduce your classmate to the rest of the group.,instruction_text
15,text-15-12,en,Have a look at our classroom.,instruction_text
15,text-15-13,en,One picture is after the Math class.,section_text
15,text-15-14,en,The other picture is after the English class.,section_text
15,text-15-15,en,Find the differences between the two pictures.,instruction_text
15,text-15-16,en,"In pic A there is an eraser on the table,",section_text
15,text-15-17,en,in pic B there is an eraser on the chair.,section_text
15,text-15-18,en,Photo by Aldo Rodriguez,image_caption
15,text-15-19,en,UNIT 1,chapter_title
15,text-15-20,en,Hello and welcome,chapter_title
22,text-22-0,en,Unit 2,section_heading
22,text-22-1,en,MYSELF,section_heading
22,text-22-2,en,"AT THE END OF THIS UNIT, YOU WILL BE ABLE TO",section_heading
22,text-22-3,en,recognize types of houses by reading and listening to different descriptions.,section_text
22,text-22-4,en,name rooms in a house.,section_text
22,text-22-5,en,describe your house.,section_text
22,text-22-6,en,describe your ideal bedroom.,section_text
22,text-22-7,en,name objects in a bedroom and refer to their location.,section_text
22,text-22-8,en,organize new vocabulary by creating a picture dictionary.,section_text
22,text-22-9,en,reflect and talk about your favorite toy from your childhood.,section_text
22,text-22-10,en,get acquainted with vocabulary related to clothing.,section_text
22,text-22-11,en,distinguish between winter and summer clothes.,section_text
22,text-22-12,en,describe your and your partners’ outfits.,section_text
22,text-22-13,en,express preferences towards clothing items.,section_text
14,text-14-0,en,#livingUruguay1,book_title
14,text-14-1,en,"Nico introduced himself. Now, it’s your turn. Complete this chart.",instruction_text
14,text-14-2,en,Hello!! My name is,activity_input_placeholder_text
14,text-14-3,en,My last name is,activity_input_placeholder_text
14,text-14-4,en,I am,activity_input_placeholder_text
14,text-14-5,en,years old.,activity_input_placeholder_text
14,text-14-6,en,I live in,activity_input_placeholder_text
14,text-14-7,en,I go to,activity_input_placeholder_text
14,text-14-8,en,school.,activity_input_placeholder_text
14,text-14-9,en,My parents are,activity_input_placeholder_text
14,text-14-10,en,My favorite food is,activity_input_placeholder_text
14,text-14-11,en,I am a student.,section_text
14,text-14-12,en,I’m a student.,section_text
14,text-14-13,en,“I am” versus “I’m” (contraction),boxed_text
14,text-14-14,en,I am (pron) /aɪǝm/.,boxed_text
14,text-14-15,en,I’m (pron) /aɪm/.,boxed_text
14,text-14-16,en,Getting to know your partner!,section_heading
14,text-14-17,en,The teacher asks you to learn more about one of your classmates.,instruction_text
14,text-14-18,en,Get in pairs and ask him / her about his / her personal information.,instruction_text
14,text-14-19,en,Your Partner,instruction_text
14,text-14-20,en,1. Name,activity_input_placeholder_text
14,text-14-21,en,2. Nickname,activity_input_placeholder_text
14,text-14-22,en,3. Birthday,activity_input_placeholder_text
14,text-14-23,en,4. Favorite color,activity_input_placeholder_text
14,text-14-24,en,5. Favorite number,activity_input_placeholder_text
14,text-14-25,en,S.O.S. BOX,image_label
14,text-14-26,en,UNIT 1,chapter_title
14,text-14-27,en,Hello and welcome,chapter_title
17,text-17-0,en,#livingUruguay1,book_title
17,text-17-1,en,Look at the different colors!,section_heading
17,text-17-2,en,1,activity_number
17,text-17-3,en,2,activity_number
17,text-17-4,en,3,activity_number
17,text-17-5,en,4,activity_number
17,text-17-6,en,5,activity_number
17,text-17-7,en,6,activity_number
17,text-17-8,en,7,activity_number
17,text-17-9,en,8,activity_number
17,text-17-10,en,9,activity_number
17,text-17-11,en,10,activity_number
17,text-17-12,en,11,activity_number
17,text-17-13,en,12,activity_number
17,text-17-14,en,Match the colors with the names on the palette.,instruction_text
17,text-17-15,en,Find objects for each color.,instruction_text
17,text-17-16,en,e.g. red: apple,image_label
17,text-17-17,en,"Now, write true sentences.",instruction_text
17,text-17-18,en,The apple is red.,image_label
17,text-17-19,en,Get in pairs. Ask and answer.,instruction_text
17,text-17-20,en,What color is the apple?,instruction_text
17,text-17-21,en,It's red.,instruction_text
17,text-17-22,en,Photo by Aldo Rodriguez,image_caption
17,text-17-23,en,UNIT 1,chapter_title
17,text-17-24,en,Hello and welcome,chapter_title
17,text-17-25,en,red,image_overlay
17,text-17-26,en,yellow,image_overlay
17,text-17-27,en,grey,image_overlay
17,text-17-28,en,brown,image_overlay
17,text-17-29,en,green,image_overlay
17,text-17-30,en,white,image_overlay
17,text-17-31,en,blue,image_overlay
17,text-17-32,en,light blue,image_overlay
17,text-17-33,en,black,image_overlay
17,text-17-34,en,orange,image_overlay
17,text-17-35,en,violet,image_overlay
17,text-17-36,en,pink,image_overlay
16,text-16-0,en,Guessing game!,section_heading
16,text-16-1,en,Let's play a game! Come and guess the objects from the bag.,instruction_text
16,text-16-2,en,"Then, write the objects on the chart.",instruction_text
16,text-16-3,en,There are some objects in the bag.,section_text
16,text-16-4,en,One member of the group goes to the front of the class.,instruction_text
16,text-16-5,en,He / she touches the object and describes it to his / her group.,instruction_text
16,text-16-6,en,For example:,standalone_text
16,text-16-7,en,It is big. / It is small.,section_text
16,text-16-8,en,It seems to be (fruit).,section_text
16,text-16-9,en,I think you can eat it.,section_text
16,text-16-10,en,Write the objects your group and the other group guessed.,instruction_text
16,text-16-11,en,Your group,section_heading
16,text-16-12,en,The other group,section_heading
16,text-16-13,en,Photo by Aldo Rodriguez,image_caption
16,text-16-14,en,UNIT 1,book_subtitle
16,text-16-15,en,Hello and welcome,chapter_title
16,text-16-17,en,#livingUruguay1,book_title
12,text-12-0,en,#livingUruguay1,book_title
12,text-12-1,en,S.O.S. BOX,boxed_text
12,text-12-12,en,Teacher: Luis?,section_text
12,text-12-13,en,Luis: Present!,section_text
12,text-12-14,en,Teacher: Emma?,section_text
12,text-12-15,en,Emma: Here!,section_text
12,text-12-16,en,Teacher: Fernando?,section_text
12,text-12-17,en,"Children: He is absent, teacher!",section_text
12,text-12-18,en,"Look at Nico, Lua and Emma and answer their questions.",instruction_text
12,text-12-19,en,My name is Emma. What’s your name?,section_text
12,text-12-20,en,You,image_label
12,text-12-21,en,I am 13. How old are you?,section_text
12,text-12-22,en,You,image_label
12,text-12-23,en,My favorite color is blue. What’s your favorite color?,section_text
12,text-12-24,en,You,image_label
12,text-12-25,en,UNIT 1,chapter_title
12,text-12-26,en,Hello and welcome,chapter_title
25,text-25-0,en,#livingUruguay1,book_title
25,text-25-1,en,Now write a general description of your house.,instruction_text
25,text-25-2,en,If you want include a picture.,instruction_text
25,text-25-3,en,Emma is learning the different parts of the house in English.,section_text
25,text-25-4,en,She has some definitions and the names. Match them.,section_text
25,text-25-5,en,In this room there is a fridge and you can cook.,activity_option
25,text-25-6,en,In this room there are sofas and you can watch TV.,activity_option
25,text-25-7,en,In this room there is a bed and you sleep there.,activity_option
25,text-25-8,en,In this room there is a shower and toilet and you can brush your teeth.,activity_option
25,text-25-9,en,From this place you can see the street and the neighborhood.,activity_option
25,text-25-10,en,In this room there is a table and there are chairs and you can eat there.,activity_option
25,text-25-11,en,living room,activity_option
25,text-25-12,en,bedroom,activity_option
25,text-25-13,en,dining room,activity_option
