page_index,id,language_code_orig,type,section_id,section_type,language_code,text,status
21,text-21-0,en,book_title,3.0,other,es,#livingUruguay1,success
21,text-21-1,en,image_caption,0.0,text_and_images,es,Esta es Caroline.,success
21,text-21-2,en,image_caption,0.0,text_and_images,es,"Ella tiene grandes ojos azules, una nariz pequeña y una boca grande.",success
21,text-21-3,en,image_caption,0.0,text_and_images,es,"Su cabello es rubio, largo y lacio.",success
21,text-21-4,en,image_caption,1.0,text_and_images,es,Este es Miguel.,success
21,text-21-5,en,image_caption,1.0,text_and_images,es,"Tiene ojos pequeños y verdes, una nariz grande y una boca pequeña.",success
21,text-21-6,en,image_caption,1.0,text_and_images,es,"Su cabello es marrón, corto y rizado.",success
21,text-21-7,en,section_heading,2.0,activity_open_ended_answer,es,Yo en el espejo,success
21,text-21-8,en,instruction_text,2.0,activity_open_ended_answer,es,"Mira al espejo, dibuja tu cara o pega una foto tuya allí.",success
21,text-21-9,en,instruction_text,2.0,activity_open_ended_answer,es,Descríbete en el espejo.,success
21,text-21-10,en,chapter_title,3.0,other,es,UNIDAD 1,success
21,text-21-11,en,chapter_title,3.0,other,es,Hola y bienvenidos,success
15,text-15-0,en,book_title,2.0,other,es,#viviendoUruguay1,success
15,text-15-1,en,instruction_text,0.0,activity_fill_in_the_blank,es,¡Genial! Ahora escribe un informe sobre tu compañero de clase.,success
15,text-15-2,en,instruction_text,0.0,activity_fill_in_the_blank,es,Usa el modelo a continuación para ayudarte.,success
15,text-15-3,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,¡Hola! Mi nombre es,success
15,text-15-4,en,section_text,0.0,activity_fill_in_the_blank,es,Voy a presentarte a mi amigo.,success
15,text-15-5,en,section_text,0.0,activity_fill_in_the_blank,es,Este es mi compañero.,success
15,text-15-6,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Su nombre es,success
15,text-15-7,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Puedes llamarlo/la a él/ella,success
15,text-15-8,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Su cumpleaños es el,success
15,text-15-9,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Su color favorito es,success
15,text-15-10,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,y su número favorito es,success
15,text-15-11,en,instruction_text,0.0,activity_fill_in_the_blank,es,Presenta a tu compañero de clase al resto del grupo.,success
15,text-15-12,en,instruction_text,1.0,activity_other,es,Mira nuestro aula.,success
15,text-15-13,en,section_text,1.0,activity_other,es,Una foto es después de la clase de matemáticas.,success
15,text-15-14,en,section_text,1.0,activity_other,es,La otra imagen es después de la clase de inglés.,success
15,text-15-15,en,instruction_text,1.0,activity_other,es,Encuentra las diferencias entre las dos imágenes.,success
15,text-15-16,en,section_text,1.0,activity_other,es,"En la imagen A hay un borrador en la mesa,",success
15,text-15-17,en,section_text,1.0,activity_other,es,en la imagen B hay un borrador en la silla.,success
15,text-15-18,en,image_caption,2.0,other,es,Foto de Aldo Rodriguez,success
15,text-15-19,en,chapter_title,2.0,other,es,UNIDAD 1,success
15,text-15-20,en,chapter_title,2.0,other,es,Hola y bienvenido,success
22,text-22-0,en,section_heading,0.0,foreword,es,Unidad 2,success
22,text-22-1,en,section_heading,0.0,foreword,es,YO MISMO,success
22,text-22-2,en,section_heading,0.0,foreword,es,"AL FINAL DE ESTA UNIDAD, PODRÁS",success
22,text-22-3,en,section_text,0.0,foreword,es,reconocer tipos de casas leyendo y escuchando diferentes descripciones.,success
22,text-22-4,en,section_text,0.0,foreword,es,nombra las habitaciones en una casa.,success
22,text-22-5,en,section_text,0.0,foreword,es,Describe tu casa.,success
22,text-22-6,en,section_text,0.0,foreword,es,describe tu dormitorio ideal.,success
22,text-22-7,en,section_text,0.0,foreword,es,nombra objetos en un dormitorio y menciona su ubicación.,success
22,text-22-8,en,section_text,0.0,foreword,es,organizar vocabulario nuevo creando un diccionario ilustrado.,success
22,text-22-9,en,section_text,0.0,foreword,es,Reflexiona y habla sobre tu juguete favorito de la infancia.,success
22,text-22-10,en,section_text,0.0,foreword,es,Familiarízate con el vocabulario relacionado con la ropa.,success
22,text-22-11,en,section_text,0.0,foreword,es,distinguir entre ropa de invierno y ropa de verano.,success
22,text-22-12,en,section_text,0.0,foreword,es,describe tu atuendo y el de tus compañeros.,success
22,text-22-13,en,section_text,0.0,foreword,es,expresar preferencias hacia las prendas de vestir.,success
14,text-14-0,en,book_title,3.0,other,es,#viviendoUruguay1,success
14,text-14-1,en,instruction_text,0.0,activity_fill_in_the_blank,es,Nico se presentó. Ahora es tu turno. Completa este cuadro.,success
14,text-14-2,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,¡¡Hola!! Mi nombre es,success
14,text-14-3,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Mi apellido es,success
14,text-14-4,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Yo soy,success
14,text-14-5,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,años de edad,success
14,text-14-6,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Yo vivo en,success
14,text-14-7,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Yo voy a,success
14,text-14-8,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,escuela,success
14,text-14-9,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Mis padres son,success
14,text-14-10,en,activity_input_placeholder_text,0.0,activity_fill_in_the_blank,es,Mi comida favorita es,success
14,text-14-11,en,section_text,1.0,text_only,es,Soy un estudiante.,success
14,text-14-12,en,section_text,1.0,text_only,es,Soy un estudiante.,success
14,text-14-13,en,boxed_text,1.0,text_only,es,"""Yo soy"" versus ""Yo soy"" (contracción)",success
14,text-14-14,en,boxed_text,1.0,text_only,es,Yo soy.,success
14,text-14-15,en,boxed_text,1.0,text_only,es,Soy (pron) /aɪm/.,success
14,text-14-16,en,section_heading,2.0,activity_open_ended_answer,es,¡Conociendo a tu pareja!,success
14,text-14-17,en,instruction_text,2.0,activity_open_ended_answer,es,El maestro te pide que aprendas más sobre uno de tus compañeros de clase.,success
14,text-14-18,en,instruction_text,2.0,activity_open_ended_answer,es,Pónganse en parejas y pregúntenle a él/ella sobre su información personal.,success
14,text-14-19,en,instruction_text,2.0,activity_open_ended_answer,es,Tu Pareja,success
14,text-14-20,en,activity_input_placeholder_text,2.0,activity_open_ended_answer,es,nombre,success
14,text-14-21,en,activity_input_placeholder_text,2.0,activity_open_ended_answer,es,Apodo,success
14,text-14-22,en,activity_input_placeholder_text,2.0,activity_open_ended_answer,es,Cumpleaños,success
14,text-14-23,en,activity_input_placeholder_text,2.0,activity_open_ended_answer,es,Color favorito,success
14,text-14-24,en,activity_input_placeholder_text,2.0,activity_open_ended_answer,es,número favorito,success
14,text-14-25,en,image_label,3.0,other,es,Caja S.O.S.,success
14,text-14-26,en,chapter_title,3.0,other,es,UNIDAD 1,success
14,text-14-27,en,chapter_title,3.0,other,es,Hola y bienvenidos,success
17,text-17-0,en,book_title,5.0,other,es,#viviendoUruguay1,success
17,text-17-1,en,section_heading,0.0,activity_labeling,es,¡Mira los diferentes colores!,success
17,text-17-2,en,activity_number,0.0,activity_labeling,es,1,success
17,text-17-3,en,activity_number,0.0,activity_labeling,es,2,success
17,text-17-4,en,activity_number,0.0,activity_labeling,es,3,success
17,text-17-5,en,activity_number,0.0,activity_labeling,es,4,success
17,text-17-6,en,activity_number,0.0,activity_labeling,es,5,success
17,text-17-7,en,activity_number,0.0,activity_labeling,es,6,success
17,text-17-8,en,activity_number,0.0,activity_labeling,es,7,success
17,text-17-9,en,activity_number,0.0,activity_labeling,es,8,success
17,text-17-10,en,activity_number,0.0,activity_labeling,es,9,success
17,text-17-11,en,activity_number,0.0,activity_labeling,es,10,success
17,text-17-12,en,activity_number,0.0,activity_labeling,es,11,success
17,text-17-13,en,activity_number,0.0,activity_labeling,es,12,success
17,text-17-14,en,instruction_text,1.0,activity_matching,es,Empareja los colores con los nombres en la paleta.,success
17,text-17-15,en,instruction_text,2.0,activity_open_ended_answer,es,Encuentra objetos para cada color.,success
17,text-17-16,en,image_label,2.0,activity_open_ended_answer,es,e.g. rojo: manzana,success
17,text-17-17,en,instruction_text,3.0,activity_open_ended_answer,es,"Ahora, escribe oraciones verdaderas.",success
17,text-17-18,en,image_label,3.0,activity_open_ended_answer,es,La manzana es roja.,success
17,text-17-19,en,instruction_text,4.0,activity_open_ended_answer,es,Pónganse en parejas. Pregunten y respondan.,success
17,text-17-20,en,instruction_text,4.0,activity_open_ended_answer,es,¿De qué color es la manzana?,success
17,text-17-21,en,instruction_text,4.0,activity_open_ended_answer,es,Es rojo.,success
17,text-17-22,en,image_caption,5.0,other,es,Foto por Aldo Rodriguez,success
17,text-17-23,en,chapter_title,5.0,other,es,UNIDAD 1,success
17,text-17-24,en,chapter_title,5.0,other,es,Hola y bienvenido,success
17,text-17-25,en,image_overlay,1.0,activity_matching,es,rojo,success
17,text-17-26,en,image_overlay,1.0,activity_matching,es,amarillo,success
17,text-17-27,en,image_overlay,1.0,activity_matching,es,gris,success
17,text-17-28,en,image_overlay,1.0,activity_matching,es,marrón,success
17,text-17-29,en,image_overlay,1.0,activity_matching,es,verde,success
17,text-17-30,en,image_overlay,1.0,activity_matching,es,blanco,success
17,text-17-31,en,image_overlay,1.0,activity_matching,es,azul,success
17,text-17-32,en,image_overlay,1.0,activity_matching,es,azul claro,success
17,text-17-33,en,image_overlay,1.0,activity_matching,es,negro,success
17,text-17-34,en,image_overlay,1.0,activity_matching,es,naranja,success
17,text-17-35,en,image_overlay,1.0,activity_matching,es,violeta,success
17,text-17-36,en,image_overlay,1.0,activity_matching,es,rosado,success
16,text-16-0,en,section_heading,0.0,activity_fill_in_a_table,es,¡Juego de adivinanzas!,success
16,text-16-1,en,instruction_text,0.0,activity_fill_in_a_table,es,¡Juguemos un juego! Ven y adivina los objetos de la bolsa.,success
16,text-16-2,en,instruction_text,0.0,activity_fill_in_a_table,es,"Luego, escribe los objetos en el gráfico.",success
16,text-16-3,en,section_text,0.0,activity_fill_in_a_table,es,Hay algunos objetos en la bolsa.,success
16,text-16-4,en,instruction_text,0.0,activity_fill_in_a_table,es,Un miembro del grupo va al frente de la clase.,success
16,text-16-5,en,instruction_text,0.0,activity_fill_in_a_table,es,Él / ella toca el objeto y lo describe a su grupo.,success
16,text-16-6,en,standalone_text,0.0,activity_fill_in_a_table,es,Por ejemplo:,success
16,text-16-7,en,section_text,0.0,activity_fill_in_a_table,es,Es grande. / Es pequeño.,success
16,text-16-8,en,section_text,0.0,activity_fill_in_a_table,es,Parece ser (fruta).,success
16,text-16-9,en,section_text,0.0,activity_fill_in_a_table,es,Creo que puedes comerlo.,success
16,text-16-10,en,instruction_text,0.0,activity_fill_in_a_table,es,Escribe los objetos que tu grupo y el otro grupo adivinaron.,success
16,text-16-11,en,section_heading,0.0,activity_fill_in_a_table,es,Tu grupo,success
16,text-16-12,en,section_heading,0.0,activity_fill_in_a_table,es,El otro grupo,success
16,text-16-13,en,image_caption,1.0,other,es,Foto de Aldo Rodriguez,success
16,text-16-14,en,book_subtitle,1.0,other,es,UNIDAD 1,success
16,text-16-15,en,chapter_title,1.0,other,es,Hola y bienvenidos,success
16,text-16-17,en,book_title,1.0,other,es,#vivirUruguay1,success
12,text-12-0,en,book_title,0.0,text_and_images,es,#vivirUruguay1,success
12,text-12-1,en,boxed_text,0.0,text_and_images,es,S.O.S. CAJA,success
12,text-12-12,en,section_text,0.0,text_and_images,es,Profesor: Luis?,success
12,text-12-13,en,section_text,0.0,text_and_images,es,¡Presente!,success
12,text-12-14,en,section_text,0.0,text_and_images,es,¿Maestra: Emma?,success
12,text-12-15,en,section_text,0.0,text_and_images,es,¡Aquí!,success
12,text-12-16,en,section_text,0.0,text_and_images,es,Maestro: ¿Fernando?,success
12,text-12-17,en,section_text,0.0,text_and_images,es,"¡Está ausente, maestro!",success
12,text-12-18,en,instruction_text,1.0,activity_open_ended_answer,es,"Mira a Nico, Lua y Emma y responde sus preguntas.",success
12,text-12-19,en,section_text,1.0,activity_open_ended_answer,es,Me llamo Emma. ¿Cómo te llamas?,success
12,text-12-20,en,image_label,1.0,activity_open_ended_answer,es,Tú,success
12,text-12-21,en,section_text,2.0,activity_open_ended_answer,es,Tengo 13 años. ¿Cuántos años tienes tú?,success
12,text-12-22,en,image_label,2.0,activity_open_ended_answer,es,Tú,success
12,text-12-23,en,section_text,3.0,activity_open_ended_answer,es,Mi color favorito es azul. ¿Cuál es tu color favorito?,success
12,text-12-24,en,image_label,3.0,activity_open_ended_answer,es,Tú,success
