page_index,text_id,base_language_code,target_language_code,status,error
12,text-12-0,en,es,enqueued,
14,text-14-0,en,es,enqueued,
21,text-21-0,en,es,enqueued,
21,text-21-1,en,es,enqueued,
21,text-21-2,en,es,enqueued,
16,text-16-0,en,es,enqueued,
16,text-16-1,en,es,enqueued,
16,text-16-2,en,es,enqueued,
16,text-16-3,en,es,enqueued,
12,text-12-0,en,es,success,
16,text-16-4,en,es,enqueued,
16,text-16-5,en,es,enqueued,
16,text-16-6,en,es,enqueued,
16,text-16-7,en,es,enqueued,
15,text-15-0,en,es,enqueued,
15,text-15-1,en,es,enqueued,
15,text-15-2,en,es,enqueued,
15,text-15-3,en,es,enqueued,
15,text-15-4,en,es,enqueued,
15,text-15-5,en,es,enqueued,
15,text-15-6,en,es,enqueued,
15,text-15-7,en,es,enqueued,
14,text-14-0,en,es,success,
15,text-15-8,en,es,enqueued,
15,text-15-9,en,es,enqueued,
22,text-22-0,en,es,enqueued,
21,text-21-0,en,es,success,
16,text-16-0,en,es,success,
21,text-21-2,en,es,success,
24,text-24-0,en,es,enqueued,
24,text-24-1,en,es,enqueued,
24,text-24-2,en,es,enqueued,
16,text-16-4,en,es,success,
24,text-24-3,en,es,enqueued,
24,text-24-4,en,es,enqueued,
16,text-16-3,en,es,success,
21,text-21-1,en,es,success,
16,text-16-1,en,es,success,
16,text-16-2,en,es,success,
16,text-16-7,en,es,success,
16,text-16-5,en,es,success,
13,text-13-0,en,es,enqueued,
13,text-13-1,en,es,enqueued,
13,text-13-2,en,es,enqueued,
20,text-20-0,en,es,enqueued,
13,text-13-3,en,es,enqueued,
16,text-16-6,en,es,success,
20,text-20-1,en,es,enqueued,
13,text-13-4,en,es,enqueued,
19,text-19-0,en,es,enqueued,
20,text-20-2,en,es,enqueued,
13,text-13-5,en,es,enqueued,
29,text-29-0,en,es,enqueued,
19,text-19-1,en,es,enqueued,
30,text-30-0,en,es,enqueued,
20,text-20-3,en,es,enqueued,
13,text-13-6,en,es,enqueued,
29,text-29-1,en,es,enqueued,
19,text-19-2,en,es,enqueued,
15,text-15-0,en,es,success,
20,text-20-4,en,es,enqueued,
13,text-13-7,en,es,enqueued,
29,text-29-2,en,es,enqueued,
19,text-19-3,en,es,enqueued,
20,text-20-5,en,es,enqueued,
13,text-13-8,en,es,enqueued,
19,text-19-4,en,es,enqueued,
20,text-20-6,en,es,enqueued,
13,text-13-9,en,es,enqueued,
19,text-19-5,en,es,enqueued,
20,text-20-7,en,es,enqueued,
13,text-13-10,en,es,enqueued,
19,text-19-6,en,es,enqueued,
20,text-20-8,en,es,enqueued,
15,text-15-1,en,es,success,
13,text-13-11,en,es,enqueued,
10,text-10-0,en,es,enqueued,
19,text-19-7,en,es,enqueued,
20,text-20-9,en,es,enqueued,
13,text-13-12,en,es,enqueued,
10,text-10-1,en,es,enqueued,
19,text-19-8,en,es,enqueued,
15,text-15-3,en,es,success,
20,text-20-10,en,es,enqueued,
13,text-13-13,en,es,enqueued,
10,text-10-2,en,es,enqueued,
19,text-19-9,en,es,enqueued,
13,text-13-14,en,es,enqueued,
10,text-10-3,en,es,enqueued,
19,text-19-10,en,es,enqueued,
10,text-10-4,en,es,enqueued,
19,text-19-11,en,es,enqueued,
10,text-10-5,en,es,enqueued,
19,text-19-12,en,es,enqueued,
10,text-10-6,en,es,enqueued,
19,text-19-13,en,es,enqueued,
10,text-10-7,en,es,enqueued,
19,text-19-14,en,es,enqueued,
10,text-10-8,en,es,enqueued,
10,text-10-9,en,es,enqueued,
10,text-10-10,en,es,enqueued,
10,text-10-11,en,es,enqueued,
10,text-10-12,en,es,enqueued,
10,text-10-13,en,es,enqueued,
10,text-10-14,en,es,enqueued,
10,text-10-15,en,es,enqueued,
15,text-15-4,en,es,success,
15,text-15-6,en,es,success,
15,text-15-2,en,es,success,
18,text-18-0,en,es,enqueued,
18,text-18-1,en,es,enqueued,
18,text-18-2,en,es,enqueued,
18,text-18-3,en,es,enqueued,
15,text-15-9,en,es,success,
18,text-18-4,en,es,enqueued,
18,text-18-5,en,es,enqueued,
18,text-18-6,en,es,enqueued,
18,text-18-7,en,es,enqueued,
11,text-11-0,en,es,enqueued,
18,text-18-8,en,es,enqueued,
11,text-11-1,en,es,enqueued,
15,text-15-8,en,es,success,
15,text-15-5,en,es,success,
18,text-18-9,en,es,enqueued,
11,text-11-2,en,es,enqueued,
18,text-18-10,en,es,enqueued,
11,text-11-3,en,es,enqueued,
18,text-18-11,en,es,enqueued,
11,text-11-4,en,es,enqueued,
18,text-18-12,en,es,enqueued,
11,text-11-5,en,es,enqueued,
22,text-22-0,en,es,success,
18,text-18-13,en,es,enqueued,
11,text-11-6,en,es,enqueued,
18,text-18-14,en,es,enqueued,
11,text-11-7,en,es,enqueued,
18,text-18-15,en,es,enqueued,
11,text-11-8,en,es,enqueued,
18,text-18-16,en,es,enqueued,
24,text-24-0,en,es,success,
11,text-11-9,en,es,enqueued,
18,text-18-17,en,es,enqueued,
11,text-11-10,en,es,enqueued,
18,text-18-18,en,es,enqueued,
11,text-11-11,en,es,enqueued,
11,text-11-12,en,es,enqueued,
11,text-11-13,en,es,enqueued,
11,text-11-14,en,es,enqueued,
11,text-11-15,en,es,enqueued,
11,text-11-16,en,es,enqueued,
24,text-24-4,en,es,success,
24,text-24-3,en,es,success,
11,text-11-17,en,es,enqueued,
11,text-11-18,en,es,enqueued,
11,text-11-19,en,es,enqueued,
11,text-11-20,en,es,enqueued,
23,text-23-0,en,es,enqueued,
24,text-24-2,en,es,success,
11,text-11-21,en,es,enqueued,
23,text-23-1,en,es,enqueued,
13,text-13-2,en,es,success,
11,text-11-22,en,es,enqueued,
23,text-23-2,en,es,enqueued,
11,text-11-23,en,es,enqueued,
23,text-23-3,en,es,enqueued,
11,text-11-24,en,es,enqueued,
23,text-23-4,en,es,enqueued,
11,text-11-25,en,es,enqueued,
23,text-23-5,en,es,enqueued,
11,text-11-26,en,es,enqueued,
23,text-23-6,en,es,enqueued,
11,text-11-27,en,es,enqueued,
23,text-23-7,en,es,enqueued,
13,text-13-0,en,es,success,
11,text-11-28,en,es,enqueued,
23,text-23-8,en,es,enqueued,
11,text-11-29,en,es,enqueued,
