page_index,id,language_code,text,type,section_id,section_type,translation_target
10,text-10-2,en,This process includes a number of components:,section_text,0,text_only,es
10,text-10-7,en,4. Build and test the prototypes.,activity_number,0,text_only,es
10,text-10-6,en,3. Use criteria and constraints to evaluate possible design solutions to identify the one(s) that best address these parameters for the problem in context.,activity_number,0,text_only,es
10,text-10-5,en,"Engineers use research, brainstorming, and collaboration with others to come up with ideas for solutions and designs.",section_text,0,text_only,es
10,text-10-4,en,2. Generating ideas for how to solve the problem.,activity_number,0,text_only,es
10,text-10-3,en,1. Identifying the problem and defining criteria and constraints.,activity_number,0,text_only,es
10,text-10-10,en,"In the Science with Engineering Education (SEEd) Standards, specific engineering standards generally involve two types of tasks:",section_text,1,text_only,es
10,text-10-1,en,"Engineering is a creative process where each new version of a design is tested and then modified, based on what has been learned up to that point.",section_text,0,text_only,es
10,text-10-0,en,What is involved in Engineering Design?,section_heading,0,text_only,es
10,text-10-11,en,"1. If the standard includes the idea of designing, then the design process will contain components of defining the problem (along with identifying the criteria and constraints), developing many possible solutions, and optimizing a solution (e.g., determining a best solution for the situation based on the criteria and constraints, testing the solution, refining the solution).",activity_number,1,text_only,es
10,text-10-12,en,"2. If the standard includes the idea of evaluating, then the design process will contain components of defining the problem (along with identifying the criteria and constraints) and optimizing a solution.",activity_number,1,text_only,es
10,text-10-13,en,The idea of developing many possible solutions is not included because various solutions will be provided.,section_text,1,text_only,es
10,text-10-14,en,The idea of evaluating then means determining a best solution from the provided solutions for the situation based on meeting the criteria and constraints requirements.,section_text,1,text_only,es
10,text-10-8,en,"Using data collected, the engineer analyzes how well prototypes meet the given criteria and constraints.",section_text,0,text_only,es
10,text-10-9,en,5. Suggest or make improvements to prototypes to optimize the design.,activity_number,0,text_only,es
11,text-11-27,en,3.2 Consuming Food (5.3.2),section_heading,0,table_of_contents,es
11,text-11-29,en,3.3 Movement of Matter (5.3.3),section_heading,0,table_of_contents,es
11,text-11-25,en,3.1 Building Plants (5.3.1),section_heading,0,table_of_contents,es
11,text-11-23,en,CHAPTER 3-Cycling of Matter in Earth’s Systems,chapter_title,0,table_of_contents,es
11,text-11-21,en,2.4 Conservation of Matter (5.2.4),section_heading,0,table_of_contents,es
11,text-11-19,en,2.3 Combining Substances (5.2.3),section_heading,0,table_of_contents,es
11,text-11-17,en,2.2 Identifying Substances (5.2.2),section_heading,0,table_of_contents,es
11,text-11-15,en,2.1 Too Small to See (5.2.1),section_heading,0,table_of_contents,es
11,text-11-13,en,CHAPTER 2-Properties and Changes in Matter,chapter_title,0,table_of_contents,es
11,text-11-11,en,1.5 Impact on Humans (5.1.5),section_heading,0,table_of_contents,es
11,text-11-9,en,1.4 Interactions between Systems (5.1.4),section_heading,0,table_of_contents,es
11,text-11-7,en,1.3 Weathering and Erosion (5.1.3),section_heading,0,table_of_contents,es
11,text-11-5,en,1.2 Earth’s Water (5.1.2),section_heading,0,table_of_contents,es
11,text-11-3,en,1.1 Patterns in Earth’s Features (5.1.1),section_heading,0,table_of_contents,es
11,text-11-1,en,CHAPTER 1-Earth’s Systems,chapter_title,0,table_of_contents,es
11,text-11-0,en,Table of Contents,standalone_text,0,table_of_contents,es
11,text-11-31,en,3.4 Conserving Resources (5.3.4),section_heading,0,table_of_contents,es
13,text-13-12,en,"Some interactions cause landslides, earthquakes, and volcanic eruptions that impact humans and other organisms.",section_text,1,text_and_images,es
13,text-13-13,en,Humans cannot eliminate natural hazards; solutions can be designed to reduce their impact.,section_text,1,text_and_images,es
13,text-13-10,en,These systems interact in multiple ways.,section_text,1,text_and_images,es
13,text-13-2,en,Chapter Outline,section_heading,0,table_of_contents,es
13,text-13-3,en,1.1 Patterns in Earth’s Features (5.1.1),section_text,0,table_of_contents,es
13,text-13-4,en,1.2 Earth’s Water (5.1.2),section_text,0,table_of_contents,es
13,text-13-5,en,1.3 Weathering and Erosion (5.1.3),section_text,0,table_of_contents,es
13,text-13-6,en,1.4 Interactions between Systems (5.1.4),section_text,0,table_of_contents,es
13,text-13-7,en,1.5 Impact on Humans (5.1.5),section_text,0,table_of_contents,es
13,text-13-11,en,Weathering and erosion are examples of interactions between Earth’s systems.,section_text,1,text_and_images,es
13,text-13-8,en,"Image by Julius Silver, pixabay.com, CC0",image_caption,1,text_and_images,es
