page_index,section_id,html_path,reasoning
11,0,science5thgrade_web_assets_result/intermediate_outputs/11_0_adt.html,"T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,i,s, ,d,e,s,i,g,n,e,d, ,t,o, ,d,i,s,p,l,a,y, ,a, ,t,a,b,l,e, ,o,f, ,c,o,n,t,e,n,t,s, ,u,s,i,n,g, ,T,a,i,l,w,i,n,d, ,C,S,S, ,f,o,r, ,s,t,y,l,i,n,g, ,t,h,e, ,t,e,x,t, ,a,n,d, ,l,a,y,o,u,t, ,a,r,r,a,n,g,e,m,e,n,t,., ,E,a,c,h, ,c,h,a,p,t,e,r, ,a,n,d, ,s,e,c,t,i,o,n, ,i,s, ,l,i,s,t,e,d,,, ,s,t,y,l,e,d, ,c,o,n,s,i,s,t,e,n,t,l,y, ,t,o, ,e,n,s,u,r,e, ,c,l,e,a,r, ,r,e,a,d,a,b,i,l,i,t,y, ,a,n,d, ,h,i,e,r,a,r,c,h,y,., ,T,h,e, ,H,T,M,L, ,m,a,i,n,t,a,i,n,s, ,c,o,m,p,l,i,a,n,c,e, ,w,i,t,h, ,a,c,c,e,s,s,i,b,i,l,i,t,y, ,s,t,a,n,d,a,r,d,s, ,u,s,i,n,g, ,a,p,p,r,o,p,r,i,a,t,e, ,r,o,l,e,s, ,a,n,d, ,h,e,a,d,i,n,g,s,."
10,1,science5thgrade_web_assets_result/intermediate_outputs/10_1_adt.html,"T,h,e, ,p,r,o,v,i,d,e,d, ,c,o,n,t,e,n,t,,, ,i,n,c,l,u,d,i,n,g, ,t,h,e, ,s,t,e,p,s, ,a,n,d, ,i,n,s,t,r,u,c,t,i,o,n, ,t,e,x,t,,, ,d,i,r,e,c,t,l,y, ,a,l,i,g,n,s, ,w,i,t,h, ,t,h,e, ,d,e,s,c,r,i,p,t,i,o,n, ,o,f, ,e,n,g,i,n,e,e,r,i,n,g, ,d,e,s,i,g,n, ,p,r,o,c,e,s,s,e,s,., ,T,h,e, ,c,o,n,t,e,n,t, ,i,s, ,a,r,r,a,n,g,e,d, ,t,o, ,c,a,t,e,r, ,t,o, ,t,h,e, ,s,e,c,t,i,o,n, ,t,y,p,e,,, ,e,n,s,u,r,i,n,g, ,c,o,h,e,r,e,n,c,e, ,a,n,d, ,f,l,o,w,."
13,0,science5thgrade_web_assets_result/intermediate_outputs/13_0_adt.html,"T,h,i,s, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,p,r,e,s,e,n,t,s, ,a, ,t,a,b,l,e, ,o,f, ,c,o,n,t,e,n,t,s, ,w,i,t,h, ,a, ,c,l,e,a,r,,, ,a,c,c,e,s,s,i,b,l,e, ,l,a,y,o,u,t,., ,T,h,e, ,h,e,a,d,i,n,g,s, ,a,n,d, ,s,e,c,t,i,o,n,s, ,a,r,e, ,o,r,g,a,n,i,z,e,d, ,t,o, ,a,l,i,g,n, ,w,i,t,h, ,W,C,A,G, ,a,n,d, ,A,R,I,A, ,g,u,i,d,e,l,i,n,e,s,,, ,e,n,s,u,r,i,n,g, ,t,h,e, ,c,o,n,t,e,n,t, ,i,s, ,u,n,d,e,r,s,t,a,n,d,a,b,l,e, ,a,n,d, ,n,a,v,i,g,a,b,l,e,."
20,2,science5thgrade_web_assets_result/intermediate_outputs/20_2_adt.html,"T,h,i,s, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,f,o,l,l,o,w,s, ,a,c,c,e,s,s,i,b,i,l,i,t,y, ,g,u,i,d,e,l,i,n,e,s, ,b,y, ,u,s,i,n,g, ,s,e,m,a,n,t,i,c, ,t,a,g,s, ,a,n,d, ,a,t,t,r,i,b,u,t,e,s,., ,T,h,e, ,T,a,i,l,w,i,n,d, ,C,S,S, ,m,a,k,e,s, ,s,u,r,e, ,t,h,e, ,d,e,s,i,g,n, ,i,s, ,c,l,e,a,n, ,a,n,d, ,f,u,n,c,t,i,o,n,a,l,."
17,5,science5thgrade_web_assets_result/intermediate_outputs/17_5_adt.html,"T,h,e, ,H,T,M,L, ,c,a,p,t,u,r,e,s, ,t,h,e, ,s,t,r,u,c,t,u,r,e, ,o,f, ,t,h,e, ,p,a,g,e, ,w,i,t,h, ,a,p,p,r,o,p,r,i,a,t,e, ,h,e,a,d,i,n,g,s, ,a,n,d, ,p,a,r,a,g,r,a,p,h,s, ,b,a,s,e,d, ,o,n, ,t,h,e, ,g,i,v,e,n, ,s,e,c,t,i,o,n, ,t,e,x,t,s,., ,T,h,e, ,A,R,I,A, ,r,o,l,e,s, ,a,n,d, ,a,t,t,r,i,b,u,t,e,s, ,e,n,s,u,r,e, ,a,c,c,e,s,s,i,b,i,l,i,t,y, ,c,o,m,p,l,i,a,n,c,e,., ,E,x,a,m,p,l,e, ,t,e,x,t, ,i,s, ,s,e,l,e,c,t,e,d, ,w,i,t,h,o,u,t, ,i,n,c,l,u,d,i,n,g, ,a,n,y, ,i,m,a,g,e,s,,, ,a,s, ,t,h,i,s, ,i,s, ,a, ,t,e,x,t,-,o,n,l,y, ,s,e,c,t,i,o,n,."
20,3,science5thgrade_web_assets_result/intermediate_outputs/20_3_adt.html,"W,e, ,n,e,e,d, ,t,o, ,g,e,n,e,r,a,t,e, ,a,n, ,H,T,M,L, ,c,o,n,t,e,n,t, ,t,h,a,t, ,r,e,p,r,e,s,e,n,t,s, ,a,n, ,o,p,e,n,-,e,n,d,e,d, ,q,u,e,s,t,i,o,n, ,a,c,t,i,v,i,t,y,., ,T,h,i,s, ,r,e,q,u,i,r,e,s, ,d,i,s,p,l,a,y,i,n,g, ,t,h,e, ,f,o,c,u,s, ,q,u,e,s,t,i,o,n, ,a,b,o,u,t, ,p,r,e,d,i,c,t,i,n,g, ,c,h,a,n,g,e,s, ,t,o, ,E,a,r,t,h,',s, ,s,u,r,f,a,c,e, ,d,u,e, ,t,o, ,v,o,l,c,a,n,o,e,s, ,a,n,d, ,e,a,r,t,h,q,u,a,k,e,s,., ,A,n, ,i,n,p,u,t, ,f,i,e,l,d, ,w,i,l,l, ,b,e, ,p,r,o,v,i,d,e,d, ,f,o,r, ,s,t,u,d,e,n,t,s, ,t,o, ,w,r,i,t,e, ,t,h,e,i,r, ,r,e,s,p,o,n,s,e,s,."
17,0,science5thgrade_web_assets_result/intermediate_outputs/17_0_adt.html,"T,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,n,e,e,d,s, ,t,o, ,b,e, ,r,e,n,d,e,r,e,d, ,i,n, ,a, ,t,e,x,t,-,o,n,l,y, ,H,T,M,L, ,s,e,c,t,i,o,n, ,w,i,t,h, ,c,l,e,a,r, ,h,e,a,d,i,n,g,s, ,a,n,d, ,p,a,r,a,g,r,a,p,h,s,., ,F,o,l,l,o,w,i,n,g, ,a,c,c,e,s,s,i,b,i,l,i,t,y, ,g,u,i,d,e,l,i,n,e,s,,, ,s,t,r,u,c,t,u,r,e,d, ,t,e,x,t, ,w,i,t,h, ,s,e,m,a,n,t,i,c, ,H,T,M,L, ,t,a,g,s, ,i,s, ,u,s,e,d,,, ,e,n,s,u,r,i,n,g, ,c,l,e,a,r, ,p,r,e,s,e,n,t,a,t,i,o,n, ,a,n,d, ,c,o,m,p,l,i,a,n,c,e, ,w,i,t,h, ,s,t,a,n,d,a,r,d,s,."
19,0,science5thgrade_web_assets_result/intermediate_outputs/19_0_adt.html,"T,h,e, ,p,a,g,e, ,i,s, ,a,b,o,u,t, ,e,a,r,t,h,q,u,a,k,e,s, ,a,n,d, ,t,h,e,i,r, ,e,f,f,e,c,t,s,,, ,f,o,c,u,s,i,n,g, ,o,n, ,l,a,n,d,f,o,r,m,s, ,a,n,d, ,t,s,u,n,a,m,i,s,., ,T,h,e, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e, ,u,s,e,s, ,T,a,i,l,w,i,n,d, ,C,S,S, ,t,o, ,e,n,s,u,r,e, ,t,h,e, ,t,e,x,t, ,i,s, ,w,e,l,l,-,o,r,g,a,n,i,z,e,d,,, ,w,i,t,h, ,c,l,e,a,r, ,s,e,c,t,i,o,n,s, ,t,o, ,a,i,d, ,r,e,a,d,a,b,i,l,i,t,y, ,a,n,d, ,a,c,c,e,s,s,i,b,i,l,i,t,y,."
17,1,science5thgrade_web_assets_result/intermediate_outputs/17_1_adt.html,"T,h,i,s, ,s,e,c,t,i,o,n, ,r,e,q,u,i,r,e,s, ,s,t,r,u,c,t,u,r,i,n,g, ,t,h,e, ,p,r,o,v,i,d,e,d, ,t,e,x,t, ,i,n, ,a, ,H,T,M,L, ,f,o,r,m,a,t, ,c,o,m,p,a,t,i,b,l,e, ,w,i,t,h, ,T,a,i,l,w,i,n,d, ,C,S,S,., ,S,i,n,c,e, ,i,t,',s, ,a, ,t,e,x,t,-,o,n,l,y, ,s,e,c,t,i,o,n,,, ,f,o,c,u,s, ,i,s, ,o,n, ,o,r,g,a,n,i,z,i,n,g, ,t,h,e, ,c,o,n,t,e,n,t, ,a,e,s,t,h,e,t,i,c,a,l,l,y, ,a,n,d, ,e,n,s,u,r,i,n,g, ,r,e,a,d,a,b,i,l,i,t,y,."
16,1,science5thgrade_web_assets_result/intermediate_outputs/16_1_adt.html,"T,h,i,s, ,H,T,M,L, ,s,t,r,u,c,t,u,r,e,s, ,t,h,e, ,c,o,n,t,e,n,t, ,a,s, ,a,n, ,a,c,t,i,v,i,t,y, ,w,i,t,h, ,o,p,e,n,-,e,n,d,e,d, ,q,u,e,s,t,i,o,n,s,,, ,a,l,l,o,w,i,n,g, ,u,s,e,r,s, ,t,o, ,p,r,o,v,i,d,e, ,t,h,e,i,r, ,a,n,s,w,e,r,s,., ,T,a,i,l,w,i,n,d, ,C,S,S, ,i,s, ,u,s,e,d, ,f,o,r, ,s,t,y,l,i,n,g,,, ,e,n,s,u,r,i,n,g, ,r,e,s,p,o,n,s,i,v,e, ,d,e,s,i,g,n,."
