page_index,id,language_code,text,type
12,text-12-0,en,12,page_number
14,text-14-0,en,14,page_number
21,text-21-2,en,21,page_number
16,text-16-7,en,16,page_number
15,text-15-9,en,15,page_number
22,text-22-0,en,22,page_number
24,text-24-4,en,24,page_number
13,text-13-14,en,13,page_number
20,text-20-10,en,20,page_number
19,text-19-14,en,19,page_number
29,text-29-2,en,29,page_number
30,text-30-0,en,30,page_number
10,text-10-15,en,10,page_number
18,text-18-18,en,18,page_number
11,text-11-2,en,13,page_number
11,text-11-4,en,15,page_number
11,text-11-6,en,23,page_number
11,text-11-8,en,31,page_number
11,text-11-10,en,41,page_number
11,text-11-12,en,49,page_number
11,text-11-14,en,57,page_number
11,text-11-16,en,59,page_number
11,text-11-18,en,67,page_number
11,text-11-20,en,73,page_number
11,text-11-22,en,79,page_number
11,text-11-24,en,85,page_number
11,text-11-26,en,87,page_number
11,text-11-28,en,95,page_number
11,text-11-30,en,101,page_number
11,text-11-32,en,109,page_number
11,text-11-33,en,11,page_number
23,text-23-17,en,"Image by Mariana Ruiz Villarreal (LadyofHats) for the CK-12 Foundation, CC BY-NC 3.0",footer_text
23,text-23-21,en,23,page_number
25,text-25-4,en,(ESS2.C),other
25,text-25-12,en,25,page_number
17,text-17-4,en,(ESS2.B),other
17,text-17-21,en,This section is adapted from information at:,other
17,text-17-22,en,https://www.nationalgeographic.org/encyclopedia/ring-fire/,other
17,text-17-23,en,https://www.nationalgeographic.org/topics/resource-library-plate-tectonics/?q=&page=1&per_page=25,other
17,text-17-24,en,17,page_number
28,text-28-26,en,28,page_number
27,text-27-12,en,27,page_number
26,text-26-28,en,26,page_number
