id,page_index,text_id,status,error
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-12-0,12,text-12-0,enqueued,
easyread-text-14-0,14,text-14-0,enqueued,
easyread-text-14-0,14,text-14-0,enqueued,
easyread-text-21-0,21,text-21-0,enqueued,
easyread-text-21-0,21,text-21-0,enqueued,
easyread-text-21-1,21,text-21-1,enqueued,
easyread-text-21-1,21,text-21-1,enqueued,
easyread-text-21-2,21,text-21-2,enqueued,
easyread-text-21-2,21,text-21-2,enqueued,
easyread-text-16-0,16,text-16-0,enqueued,
easyread-text-16-0,16,text-16-0,enqueued,
easyread-text-16-1,16,text-16-1,enqueued,
easyread-text-16-1,16,text-16-1,enqueued,
easyread-text-16-2,16,text-16-2,enqueued,
easyread-text-16-2,16,text-16-2,enqueued,
easyread-text-16-3,16,text-16-3,enqueued,
easyread-text-16-3,16,text-16-3,enqueued,
easyread-text-16-4,16,text-16-4,enqueued,
easyread-text-16-4,16,text-16-4,enqueued,
easyread-text-16-5,16,text-16-5,enqueued,
easyread-text-16-5,16,text-16-5,enqueued,
easyread-text-16-6,16,text-16-6,enqueued,
easyread-text-16-6,16,text-16-6,enqueued,
easyread-text-16-7,16,text-16-7,enqueued,
easyread-text-16-7,16,text-16-7,enqueued,
easyread-text-12-0,12,text-12-0,success,
easyread-text-14-0,14,text-14-0,success,
easyread-text-14-0,14,text-14-0,success,
easyread-text-15-0,15,text-15-0,enqueued,
easyread-text-15-0,15,text-15-0,enqueued,
easyread-text-15-1,15,text-15-1,enqueued,
easyread-text-15-1,15,text-15-1,enqueued,
easyread-text-15-2,15,text-15-2,enqueued,
easyread-text-15-2,15,text-15-2,enqueued,
easyread-text-15-3,15,text-15-3,enqueued,
easyread-text-15-3,15,text-15-3,enqueued,
easyread-text-15-4,15,text-15-4,enqueued,
easyread-text-15-4,15,text-15-4,enqueued,
easyread-text-15-5,15,text-15-5,enqueued,
easyread-text-15-5,15,text-15-5,enqueued,
easyread-text-15-6,15,text-15-6,enqueued,
easyread-text-15-6,15,text-15-6,enqueued,
easyread-text-15-7,15,text-15-7,enqueued,
easyread-text-15-7,15,text-15-7,enqueued,
easyread-text-15-8,15,text-15-8,enqueued,
easyread-text-15-8,15,text-15-8,enqueued,
easyread-text-15-9,15,text-15-9,enqueued,
easyread-text-15-9,15,text-15-9,enqueued,
easyread-text-12-0,12,text-12-0,success,
easyread-text-22-0,22,text-22-0,enqueued,
easyread-text-22-0,22,text-22-0,enqueued,
easyread-text-21-2,21,text-21-2,success,
easyread-text-21-0,21,text-21-0,success,
easyread-text-16-3,16,text-16-3,success,
easyread-text-24-0,24,text-24-0,enqueued,
easyread-text-24-0,24,text-24-0,enqueued,
easyread-text-24-1,24,text-24-1,enqueued,
easyread-text-24-1,24,text-24-1,enqueued,
easyread-text-24-2,24,text-24-2,enqueued,
easyread-text-24-2,24,text-24-2,enqueued,
easyread-text-24-3,24,text-24-3,enqueued,
easyread-text-24-3,24,text-24-3,enqueued,
easyread-text-21-2,21,text-21-2,success,
easyread-text-24-4,24,text-24-4,enqueued,
easyread-text-16-4,16,text-16-4,success,
easyread-text-24-4,24,text-24-4,enqueued,
easyread-text-16-0,16,text-16-0,success,
easyread-text-21-0,21,text-21-0,success,
easyread-text-16-2,16,text-16-2,success,
easyread-text-21-1,21,text-21-1,success,
easyread-text-16-1,16,text-16-1,success,
easyread-text-16-2,16,text-16-2,success,
easyread-text-16-3,16,text-16-3,success,
easyread-text-16-1,16,text-16-1,success,
easyread-text-16-5,16,text-16-5,success,
easyread-text-13-0,13,text-13-0,enqueued,
easyread-text-13-0,13,text-13-0,enqueued,
easyread-text-13-1,13,text-13-1,enqueued,
easyread-text-13-1,13,text-13-1,enqueued,
easyread-text-13-2,13,text-13-2,enqueued,
easyread-text-13-2,13,text-13-2,enqueued,
easyread-text-20-0,20,text-20-0,enqueued,
easyread-text-13-3,13,text-13-3,enqueued,
easyread-text-20-0,20,text-20-0,enqueued,
easyread-text-16-6,16,text-16-6,success,
easyread-text-13-3,13,text-13-3,enqueued,
easyread-text-16-4,16,text-16-4,success,
easyread-text-20-1,20,text-20-1,enqueued,
easyread-text-13-4,13,text-13-4,enqueued,
easyread-text-20-1,20,text-20-1,enqueued,
easyread-text-13-4,13,text-13-4,enqueued,
easyread-text-19-0,19,text-19-0,enqueued,
easyread-text-20-2,20,text-20-2,enqueued,
easyread-text-19-0,19,text-19-0,enqueued,
easyread-text-13-5,13,text-13-5,enqueued,
easyread-text-20-2,20,text-20-2,enqueued,
easyread-text-29-0,29,text-29-0,enqueued,
easyread-text-21-1,21,text-21-1,success,
easyread-text-19-1,19,text-19-1,enqueued,
easyread-text-13-5,13,text-13-5,enqueued,
easyread-text-30-0,30,text-30-0,enqueued,
easyread-text-29-0,29,text-29-0,enqueued,
easyread-text-19-1,19,text-19-1,enqueued,
easyread-text-20-3,20,text-20-3,enqueued,
easyread-text-30-0,30,text-30-0,enqueued,
easyread-text-13-6,13,text-13-6,enqueued,
easyread-text-29-1,29,text-29-1,enqueued,
easyread-text-19-2,19,text-19-2,enqueued,
easyread-text-20-3,20,text-20-3,enqueued,
easyread-text-13-6,13,text-13-6,enqueued,
easyread-text-29-1,29,text-29-1,enqueued,
easyread-text-19-2,19,text-19-2,enqueued,
easyread-text-20-4,20,text-20-4,enqueued,
easyread-text-13-7,13,text-13-7,enqueued,
easyread-text-29-2,29,text-29-2,enqueued,
easyread-text-20-4,20,text-20-4,enqueued,
easyread-text-19-3,19,text-19-3,enqueued,
easyread-text-13-7,13,text-13-7,enqueued,
easyread-text-29-2,29,text-29-2,enqueued,
easyread-text-19-3,19,text-19-3,enqueued,
easyread-text-20-5,20,text-20-5,enqueued,
easyread-text-13-8,13,text-13-8,enqueued,
easyread-text-20-5,20,text-20-5,enqueued,
easyread-text-19-4,19,text-19-4,enqueued,
easyread-text-13-8,13,text-13-8,enqueued,
easyread-text-16-7,16,text-16-7,success,
easyread-text-19-4,19,text-19-4,enqueued,
easyread-text-20-6,20,text-20-6,enqueued,
easyread-text-13-9,13,text-13-9,enqueued,
easyread-text-20-6,20,text-20-6,enqueued,
easyread-text-19-5,19,text-19-5,enqueued,
easyread-text-13-9,13,text-13-9,enqueued,
easyread-text-19-5,19,text-19-5,enqueued,
easyread-text-20-7,20,text-20-7,enqueued,
easyread-text-16-6,16,text-16-6,success,
easyread-text-13-10,13,text-13-10,enqueued,
easyread-text-15-1,15,text-15-1,success,
easyread-text-19-6,19,text-19-6,enqueued,
easyread-text-20-7,20,text-20-7,enqueued,
easyread-text-13-10,13,text-13-10,enqueued,
easyread-text-15-0,15,text-15-0,success,
easyread-text-16-5,16,text-16-5,success,
easyread-text-19-6,19,text-19-6,enqueued,
easyread-text-20-8,20,text-20-8,enqueued,
easyread-text-13-11,13,text-13-11,enqueued,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-19-7,19,text-19-7,enqueued,
easyread-text-20-8,20,text-20-8,enqueued,
easyread-text-13-11,13,text-13-11,enqueued,
easyread-text-10-0,10,text-10-0,enqueued,
easyread-text-19-7,19,text-19-7,enqueued,
